City,Uniform,Weighted,POI_Gain,Total_POI,Avg_POI_per_Zone,Max_POI
Albuquerque,0.8188329389222594,0.8147828032828831,-0.004050135639376284,4065.0,35.34782608695652,194.0
Arlington,0.8481318545634072,0.856987926510853,0.008856071947445754,1065.0,15.661764705882353,73.0
Atlanta,0.8010214967674565,0.8150932175815668,0.014071720814110344,2514.0,19.952380952380953,135.0
Austin,0.800910573958449,0.6403458210363265,-0.16056475292212247,11548.0,68.33136094674556,626.0
Baltimore,0.761093266755288,0.7905090555650621,0.029415788809774135,6288.0,31.44,314.0
Boston,0.7468800012830209,0.6897875325058329,-0.05709246877718799,10166.0,57.1123595505618,349.0
Charlotte,0.8016481983056863,0.6585346240788361,-0.14311357422685023,11989.0,64.80540540540541,508.0
Chicago,0.6543038964083704,0.6916760957961926,0.037372199387822214,60361.0,77.38589743589743,3333.0
Colorado_Springs,0.8333242645580967,0.8440695158235471,0.01074525126545034,2946.0,32.02173913043478,216.0
Columbus,0.7832030615734263,0.7487447066040581,-0.03445835496936822,13798.0,75.39890710382514,1454.0
Dallas,0.7857237008503732,0.6722252528893067,-0.11349844796106656,20920.0,48.20276497695853,1576.0
Denver,0.8193592746545753,0.6782723656675379,-0.14108690898703735,13155.0,91.35416666666667,1183.0
Detroit,0.7545167513647183,0.7357601757686978,-0.01875657559602051,19835.0,66.78451178451178,577.0
El_Paso,0.8235333334983168,0.8215812897788031,-0.0019520437195137408,1631.0,12.7421875,63.0
Fort_Worth,0.8374932862071365,0.8302892205254871,-0.00720406568164933,3693.0,26.568345323741006,186.0
Fresno,0.842132604263816,0.7840316088659816,-0.05810099539783442,6683.0,66.83,321.0
Houston,0.7662596150244732,0.5580606225038437,-0.20819899252062946,15895.0,34.330453563714904,355.0
Indianapolis,0.7875519235082725,0.7067638754725006,-0.08078804803577189,16141.0,79.51231527093596,506.0
Jacksonville,0.8103324243193433,0.6733711184024609,-0.13696130591688238,11494.0,70.51533742331289,505.0
Kansas_City,0.82523116231897,0.8303788809785517,0.005147718659581746,5221.0,36.25694444444444,281.0
Las_Vegas,0.8215987102708128,0.7883393502314985,-0.03325936003931429,8335.0,59.535714285714285,1916.0
Long_Beach,0.8245548483854052,0.8380836512254914,0.013528802840086285,2814.0,27.320388349514563,115.0
Los_Angeles,0.6815937305683132,0.6119704136546055,-0.06962331691370771,46151.0,46.47633434038268,825.0
Louisville,0.814446780700519,0.8362833283911191,0.02183654769060006,2306.0,30.746666666666666,342.0
Memphis,0.8026759935830113,0.7760404955809582,-0.026635498002053115,6424.0,37.13294797687861,278.0
Mesa,0.8305063369029468,0.8319378344286109,0.0014314975256640716,3918.0,37.31428571428572,196.0
Miami,0.8272567236335587,0.8470061258652591,0.019749402231700408,3047.0,31.412371134020617,134.0
Milwaukee,0.7875223386141349,0.801282876721301,0.013760538107166154,6637.0,32.06280193236715,266.0
Minneapolis,0.8009469305527925,0.8282789482913411,0.027332017738548542,5390.0,47.280701754385966,329.0
Nashville,0.8031621666193913,0.7262432714980418,-0.07691889512134953,10060.0,66.1842105263158,670.0
New_York,0.5725687006116186,0.5436421038245439,-0.028926596787074654,201281.0,96.39894636015326,10841.0
Oakland,0.8043617089873173,0.8215653446911209,0.017203635703803566,3944.0,34.902654867256636,156.0
Oklahoma_City,0.7963306222841591,0.6935420370455923,-0.10278858523856682,7547.0,45.463855421686745,291.0
Omaha,0.8189870547349868,0.8224273422028845,0.003440287467897707,1764.0,14.823529411764707,98.0
Philadelphia,0.7537219704607553,0.6748718234753471,-0.07885014698540815,20598.0,53.640625,917.0
Phoenix,0.7836128508227695,0.7015673772700466,-0.08204547355272296,126239.0,362.7557471264368,4421.0
Portland,0.8108176881430194,0.7017272676445969,-0.10909042049842244,19786.0,140.32624113475177,3725.0
Raleigh,0.8458182665271236,0.8546149670634783,0.008796700536354729,3505.0,48.013698630136986,258.0
Sacramento,0.8336563047062142,0.845227193437624,0.011570888731409767,3045.0,30.45,178.0
San_Antonio,0.7943832776774047,0.7618773528878192,-0.03250592478958547,16746.0,59.80714285714286,1291.0
San_Diego,0.7562187129225993,0.7023469326398768,-0.05387178028272255,29343.0,105.93140794223827,2562.0
San_Francisco,0.748766046050092,0.6514098661446444,-0.09735617990544765,18858.0,97.70984455958549,1363.0
San_Jose,0.8096102069253956,0.7754927112823308,-0.03411749564306488,19120.0,104.48087431693989,1017.0
Seattle,0.7974630249142968,0.6228946825665809,-0.1745683423477159,16363.0,123.96212121212122,931.0
Tampa,0.8327266448330454,0.8452387908512656,0.01251214601822026,6383.0,65.80412371134021,315.0
Tucson,0.822613932894345,0.8446345010733488,0.022020568179003774,3741.0,31.974358974358974,178.0
Tulsa,0.8351454157186817,0.8363289773036291,0.001183561584947368,4499.0,37.18181818181818,258.0
Virginia_Beach,0.8250811969718591,0.8089645480704658,-0.016116648901393305,1703.0,17.03,104.0
Washington_DC,0.7627139219127406,0.8094152326162536,0.04670131070351302,7572.0,42.30167597765363,371.0
Wichita,0.822525697538776,0.8114336845578436,-0.01109201298093243,1823.0,18.989583333333332,174.0
