Model,CPC,City
Exp-POI,0.6025785851189502,Fresno
Attraction-Uniform,0.8204979422446307,Fresno
Attraction-Weighted,0.7597642382577333,Fresno
Radiation-Pop,0.5455711682174398,Fresno
Radiation-POI,0.5144828249888141,Fresno
Power-Pop,0.4432088692626169,Houston
Power-POI,0.2651087800325254,Houston
Exp-Pop,0.5391471933673075,Houston
Exp-POI,0.2998585895806486,Houston
Attraction-Uniform,0.7557107936661882,Houston
Attraction-Weighted,0.4325179760894441,Houston
Radiation-Pop,0.4943315014143787,Houston
Radiation-POI,0.2631040335453974,Houston
Power-Pop,0.6516732549799453,Indianapolis
Power-POI,0.5075447956082665,Indianapolis
Exp-Pop,0.6602398522403475,Indianapolis
Exp-POI,0.5151717556667392,Indianapolis
Attraction-Uniform,0.777947556510083,Indianapolis
Attraction-Weighted,0.6445413708815371,Indianapolis
Radiation-Pop,0.5140046339449549,Indianapolis
Radiation-POI,0.4026231711137795,Indianapolis
Power-Pop,0.6625605727160846,Jacksonville
Power-POI,0.4512866243717058,Jacksonville
Exp-Pop,0.6904020570147968,Jacksonville
Exp-POI,0.4674557446958123,Jacksonville
Attraction-Uniform,0.8085358793373051,Jacksonville
Attraction-Weighted,0.5756202899043007,Jacksonville
Radiation-Pop,0.5165475074861391,Jacksonville
Radiation-POI,0.3407199873624668,Jacksonville
Power-Pop,0.6603607438439052,Kansas_City
Power-POI,0.5995356427634769,Kansas_City
Exp-Pop,0.6532203045839288,Kansas_City
Exp-POI,0.6310097984447769,Kansas_City
Attraction-Uniform,0.7995955494957353,Kansas_City
Attraction-Weighted,0.8087979768812311,Kansas_City
Radiation-Pop,0.5673781218689081,Kansas_City
Radiation-POI,0.5657963368208995,Kansas_City
Power-Pop,0.6855161270448681,Las_Vegas
Power-POI,0.5600573281089376,Las_Vegas
Exp-Pop,0.6734210045092369,Las_Vegas
Exp-POI,0.578417225202942,Las_Vegas
Attraction-Uniform,0.783867628945911,Las_Vegas
Attraction-Weighted,0.7413917630305801,Las_Vegas
Radiation-Pop,0.5669402010081929,Las_Vegas
Radiation-POI,0.5286796429694767,Las_Vegas
Power-Pop,0.7039538611979816,Long_Beach
Power-POI,0.6803543560108006,Long_Beach
Exp-Pop,0.7038670144286988,Long_Beach
Exp-POI,0.6969667328710374,Long_Beach
Attraction-Uniform,0.7526875648831666,Long_Beach
Attraction-Weighted,0.7704848566365357,Long_Beach
Radiation-Pop,0.5675404807595977,Long_Beach
Radiation-POI,0.5709346532764422,Long_Beach
Power-Pop,0.3256984617801008,Los_Angeles
