SUBZONE_C,amenity,shop,tourism,leisure,office,public_transport,A_j_raw,A_j
1108078,37,34,0,5,0,20,96,97.0
1108081,305,89,10,9,8,22,443,444.0
1108082,169,101,3,20,4,12,309,310.0
1108083,269,246,14,7,4,16,556,557.0
1108084,149,123,5,21,0,17,315,316.0
1108085,217,173,2,39,12,31,474,475.0
1109060,87,156,7,3,2,15,270,271.0
1109061,34,37,0,2,2,15,90,91.0
1109062,54,31,2,6,0,14,107,108.0
1109063,56,77,11,16,0,19,179,180.0
1109064,65,96,0,0,2,16,179,180.0
1109065,128,197,4,0,0,25,354,355.0
1109069,64,71,0,3,2,14,154,155.0
1109070,102,156,6,7,3,12,286,287.0
1109071,149,142,7,4,0,21,323,324.0
1109072,145,148,4,6,0,20,323,324.0
1109073,75,69,0,9,3,16,172,173.0
1109074,177,87,19,1,9,40,333,334.0
1109075,100,118,7,1,3,23,252,253.0
1110051,72,59,5,5,0,46,187,188.0
1110052,63,93,0,4,1,15,176,177.0
1110053,60,101,1,6,5,15,188,189.0
1110054,49,53,0,10,3,17,132,133.0
1110055,110,155,1,17,2,37,322,323.0
1110056,35,81,12,7,0,21,156,157.0
1110057,56,34,9,13,1,25,138,139.0
1110059,79,92,2,24,1,21,219,220.0
1110060,69,104,1,9,0,28,211,212.0
1110061,40,65,0,5,0,13,123,124.0
1110062,77,69,2,20,2,37,207,208.0
1110063,124,111,0,9,4,17,265,266.0
1110064,136,76,31,6,0,37,286,287.0
1110065,85,85,14,27,4,58,273,274.0
1111051,153,93,7,13,3,49,318,319.0
1111052,61,44,1,30,3,39,178,179.0
1111053,65,54,0,17,11,30,177,178.0
1111056,344,136,12,98,14,52,656,657.0
1111058,45,41,1,15,2,42,146,147.0
1111059,21,17,0,18,1,12,69,70.0
1111060,21,53,1,2,0,18,95,96.0
1111061,25,51,0,16,1,19,112,113.0
1111064,25,71,1,9,1,9,116,117.0
1111065,68,106,3,14,1,30,222,223.0
1111066,45,158,0,11,2,25,241,242.0
1111069,15,104,0,11,1,25,156,157.0
1111072,45,28,0,43,2,6,124,125.0
1111073,45,42,0,41,5,26,159,160.0
1111074,49,75,1,44,5,17,191,192.0
1111076,36,62,3,16,5,21,143,144.0
1111077,76,131,8,50,8,28,301,302.0
1111078,46,63,8,36,2,31,186,187.0
1111079,143,198,7,15,16,57,436,437.0
