N_clusters,Ratio,CPC,STD
210,0.498812351543943,0.6964149518855026,0.0008831976816099629
140,0.332541567695962,0.6934840793903084,0.0016783899852740019
105,0.2494061757719715,0.6917780403194561,0.0014471180236666982
84,0.1995249406175772,0.6908485117582451,0.001526298640188871
70,0.166270783847981,0.6893914459617145,0.0018470136668928398
60,0.14251781472684086,0.6899472390744831,0.0016299759984642773
52,0.12351543942992874,0.6899180662079191,0.0019031618371880591
46,0.10926365795724466,0.689385052936935,0.003921561949070119
42,0.0997624703087886,0.6903281897532375,0.002616598063678783
