Zone,Uniform_CPC,Uniform_R2,Uniform_MAE,Uniform_RMSE,Weighted_CPC,Weighted_R2,Weighted_MAE,Weighted_RMSE,RadPop_CPC,RadPop_R2,RadPop_MAE,RadPop_RMSE,RadPOI_CPC,RadPOI_R2,RadPOI_MAE,RadPOI_RMSE,Power_CPC,Power_R2,Power_MAE,Power_RMSE,Exp_CPC,Exp_R2,Exp_MAE,Exp_RMSE
1119054,0.8341746363609079,0.9938635903871134,4801.416167098273,8491.680350077188,0.844134291852891,0.9927092693227471,4513.037780049991,9255.971202004064,0.1865173596028161,-1.4970417330747625,23343.804460584266,170696.28048682405,0.2538537501613304,-0.627028936292171,21370.275932592547,137787.1749395796,0.7898856398842498,0.9759317958083619,6040.436359019189,16758.417321740533,0.6646883496360572,0.9035110156569408,9639.649014685605,33554.44230191071
1123064,0.7269272384686568,0.6553180307431816,8780.014364917617,48893.39084397529,0.8325403544752787,0.9822139129774096,5384.272254053817,11106.59871839691,0.3540618227559085,-1.5045222525398678,20703.21777868076,131796.33150098106,0.4171042260890434,-0.8176573466892967,18635.36955719512,112278.57257853805,0.6344005604559981,-0.1998557729762065,11754.992746260148,91223.21988185716,0.6761128043682607,0.8075461753449145,10413.833347245618,36534.58241580398
1114066,0.6876076336347078,0.6421446409976237,7248.300512954481,38175.5054561835,0.8574044397869494,0.9801822357039498,3308.581077902163,8983.76458040833,0.361053160842724,-1.2319140230480157,14792.711496170992,95338.81810011917,0.5098311392854444,-0.3499074974741394,11271.962839816746,74145.19949676424,0.5789721887087288,-0.9830550523528601,9768.92020780724,89866.62231571076,0.7051256883042566,0.4631246653293696,6841.836916789732,46759.27397036553
1101061,0.7265764798031366,0.5706899325270469,7052.519355164104,37656.13970303068,0.8053934616736353,0.9316389650039757,5019.562242487413,15026.38717166292,0.21078708857342393,-3.9403267637168096,20345.005136748474,127740.348763558,0.35296294936764055,-1.533593001353292,16549.893660682672,91478.42641411512,0.6166321743875794,-1.766235405359605,9888.3556481612,95586.11881509029,0.5952942868848288,0.6318940149281985,10438.732091647533,34868.775744986735
1113075,0.785340165746683,0.951753571685127,3550.195784477306,12037.984321319256,0.8411134948874337,0.9838550768644765,2627.7771182628617,6963.686001728173,0.21604940306305562,-5.113159294333534,12923.909394640756,135347.23419419632,0.42699408859947846,-0.5221997161514451,9383.664645953511,67538.64564153434,0.6574039242797438,0.3319286588139425,5652.636947314914,44743.2936266053,0.7411022359529471,0.9393708830966203,4271.663251112545,13478.983770638866
1112071,0.8582255280848367,0.9957199313888124,1595.307923852538,3432.8498387210075,0.8879217141289677,0.9962526049680572,1261.1535428526192,3212.1378846700995,0.29710025003621143,-0.6282404861206463,7885.774280702505,66955.87900251614,0.3819840015964919,-0.1506132715659676,6922.956874608775,56285.18926036389,0.716466943441842,0.9411576515251691,3190.437077219556,12728.418322780257,0.6878275983448695,0.6025391717146317,3512.699424946633,33080.84602473526
1122053,0.7733669532719936,0.75692961676864,4532.77020111661,23688.70367530927,0.8355436592054273,0.9603749802447433,3289.2061052021245,9564.45037894228,0.3834414177832067,-2.2542262045121126,12213.419896031395,86380.01064390037,0.3798957613346918,-1.5709685973792613,12281.041028907983,76778.1724349148,0.6670554655080402,0.6044827969548363,6611.5995409903535,30114.251509099875,0.7043107597195946,0.8679401803518051,5871.785365982404,17401.0211225062
1114074,0.8001075366503296,0.9662033218416728,2261.998697616808,6625.655106751474,0.8668849712160203,0.9894386762633441,1506.3400425250838,3703.8295725604444,0.254553768077996,-1.9592529035345678,8422.366615424413,61998.73929362852,0.3190963923215905,-1.565820577963244,7689.949628501646,57730.45218518797,0.7399192470004249,0.9423617134527642,2943.0940751934427,8652.614363261486,0.7036175119099195,0.939515318953441,3353.887339331226,8863.689104402649
1123058,0.7884262018154689,0.9477711128205163,2893.965287715202,7858.142384681813,0.8120315872379019,0.951603374834175,2571.0842570684986,7564.357509634976,0.22679437758983167,-3.3447071919087845,10565.269814208052,71671.21449612842,0.2479947044252343,-4.263426041207292,10269.218456856775,78885.78831024251,0.7431553792972582,0.9136521748465076,3513.19219595339,10103.927216441705,0.6010837695397662,0.629032208311125,5456.487209494739,20942.697019498595
1103073,0.7263950652642575,0.6537419109907102,3721.3502032732426,19379.60910047378,0.8302115168136748,0.949620979182825,2309.3238688444817,7392.135345562582,0.19821253999608832,-7.881480969872207,10789.820969203374,97701.8248821488,0.38264490693032266,-0.6774245435017745,8282.060254041204,42460.14543417348,0.6894263327906041,0.2667055502428528,4184.034001330192,28073.669298955723,0.6915615841371423,0.8692365538608355,4155.267994490087,11855.043708251556
