Cluster,CPC,Subzones
0,0.7299184379408052,51
1,0.7281640272894208,52
2,0.7270497359835271,35
3,0.7313962913996366,36
4,0.7116201654721827,52
5,0.6938484678042859,38
6,0.7243539990332134,52
7,0.7366542582639585,41
8,0.7128980526567168,30
9,0.7386143777865789,34
