Zone,CPC_No_POI,CPC_POI,CPC_Global
1101053.0,0.6653123796192848,0.758714763333993,0.5824291934663982
1101054.0,0.7194639327983938,0.8292224978786881,0.5782359218554869
1101055.0,0.6684436679925231,0.7459492851707299,0.5639583950023171
1101056.0,0.6426670683269418,0.7155445254688969,0.5361397809908651
1101057.0,0.7187950327790787,0.7586285968876625,0.5667657937731383
1101058.0,0.7283865707608649,0.7330291672481599,0.5680492136284001
1101060.0,0.7401099207843931,0.8290003499468912,0.5797918267000505
1101061.0,0.7265764798031366,0.7996506077560214,0.6294603516315912
1101063.0,0.7155438888656618,0.7474400257959284,0.6604895536798994
1101064.0,0.7002772917413718,0.7710528539487058,0.6249200274570628
1101067.0,0.7577288499362478,0.7655762461758209,0.6567507757414641
1101068.0,0.7568680190434447,0.7484926968388658,0.6402517087941721
1101069.0,0.7355878841612389,0.7340019369299958,0.620414067770051
1101070.0,0.7595414556291799,0.7793288858373625,0.6492896327546944
1101071.0,0.7477732514964931,0.8020890103691777,0.6639341288131009
1101072.0,0.6996560528382275,0.7628680078956418,0.5709016106657724
1101073.0,0.7393601102432941,0.7447034861465949,0.5762535738788936
1102052.0,0.7522029760199843,0.7481432897933904,0.6107310561958611
1102054.0,0.7206165889840328,0.7581012196852416,0.6264362488738605
1102055.0,0.7242175255147868,0.8126563654794524,0.5966954426211443
1102057.0,0.7030332050286043,0.7870250085950908,0.6078280897270505
1102058.0,0.7162813665612651,0.7121394050712722,0.6127086763655415
1102059.0,0.7503790629813196,0.7470716207695526,0.6597765040610329
1102060.0,0.7133139185630144,0.7698171966627971,0.6480414942892787
1102065.0,0.7733526914124773,0.755447827661636,0.6474804119251092
1102067.0,0.7637778503898277,0.7988440173770428,0.6810635090485698
1102068.0,0.7077142458795611,0.7273059235630676,0.6057438729259939
1102069.0,0.7366988105586461,0.7614870122027957,0.671546555283375
1102070.0,0.7605941554449751,0.7229854300088042,0.61315515023822
1102071.0,0.7122967733319119,0.684992993857139,0.5972487246729472
1102072.0,0.7390077150563934,0.7162922491906115,0.6417226824662767
1102073.0,0.7526973335786681,0.7768801558965934,0.6418274196379331
1103051.0,0.7678723264643538,0.7196446258741203,0.5655926316166302
1103052.0,0.768059794512376,0.7771976585599787,0.5891784598634477
1103053.0,0.736319758022494,0.7824656831209003,0.5960418963528749
1103057.0,0.7295970772628182,0.7762716842400527,0.568640626893541
1103058.0,0.7799231655202541,0.7383654052622812,0.5683878432361975
1103059.0,0.7386056552551079,0.7894756158591621,0.554050420814563
1103063.0,0.6846609037464582,0.8240235940732284,0.5535900751255116
1103064.0,0.6914270791964292,0.7698193176864244,0.6006549004011067
1103065.0,0.7517482912380438,0.7696882219945377,0.5722972363508415
1103066.0,0.7069026562483607,0.7358112292442412,0.5692624707335868
1103069.0,0.7398569625536985,0.7809481468409282,0.5866049503816121
1103070.0,0.7289949583949773,0.7827741211697983,0.5875201336678627
1103071.0,0.7245809394444606,0.6780969909672925,0.590506089795409
1103072.0,0.710715001070073,0.7268708252437481,0.5796053346826158
1103073.0,0.7263950652642575,0.8127584839437215,0.5868212771989937
1103074.0,0.7680075951749175,0.7918867041811447,0.5758598269503125
1104052.0,0.7157911381101769,0.7538171352661114,0.6265173178406208
1104054.0,0.7185837469550028,0.6816769296923826,0.6020664090949408
1104055.0,0.7285769417142813,0.7752112661811821,0.5799727692250001
1104056.0,0.7129924314308603,0.7627876410860639,0.6014868201040315
1104057.0,0.6844130265510207,0.7931016669809607,0.5743096919149389
1104058.0,0.7212096420279954,0.755301035584034,0.5835145906453688
1104059.0,0.6622130909936741,0.7207356801517381,0.5986586075195408
1104062.0,0.7922332441053668,0.7715375648985501,0.583982105956821
1104065.0,0.7527512310803005,0.7442952634544961,0.5899850543889006
1104066.0,0.6849788642136772,0.7712951496219845,0.5973487792672635
1104067.0,0.7544397284260619,0.7376385428927611,0.6223153815662541
1104068.0,0.7850594437202936,0.7840695531188595,0.6385137506451221
1104069.0,0.7126889721682058,0.7597229099632888,0.6255015879520048
1104070.0,0.7073851534073052,0.7578377444506982,0.6316867235762914
1104071.0,0.6728698765727161,0.8125706964972504,0.615086138200239
1104072.0,0.6971943737857702,0.7436560852611102,0.5889280521094187
1104073.0,0.7098902649003558,0.7416316682906303,0.5703035190544508
1105053.0,0.7931780682979056,0.8229040438997605,0.6019020202770048
1105054.0,0.7265534824367303,0.787859900730352,0.6012943133881791
1105055.0,0.7489010816420575,0.7365017378835432,0.614595946570995
1105056.0,0.7307750136887463,0.7116438193547949,0.5923839929052084
1105057.0,0.7321376436971909,0.7397280726270138,0.6047254988871608
1105058.0,0.7327907649713243,0.7478809324540351,0.5867158167947307
1105059.0,0.7545486717450062,0.7521280498136214,0.6082805324673215
1105060.0,0.7545024979592063,0.735608350361744,0.5999876695793231
1105061.0,0.7291628527917157,0.7261687495783689,0.5731867649821343
1105062.0,0.7384346452837657,0.7921020847419558,0.5802333360722721
1105063.0,0.6408198761730438,0.659411991626853,0.5423381583996322
1105064.0,0.7937049715188899,0.816883580537528,0.582702335117546
1105065.0,0.7466560118673232,0.7301216620501265,0.582956238932961
1105066.0,0.7162221120610365,0.7415399062125746,0.5764690454507634
1105067.0,0.7378473734617813,0.7980564330387389,0.5813321553989053
1106071.0,0.7521064367300382,0.7981063960737564,0.5975044480779695
1106072.0,0.7609097302995744,0.811828254763599,0.5943145697323015
1106073.0,0.7413426313232284,0.7988104641019527,0.6245584006495202
1106080.0,0.7480070428231694,0.7830926414830567,0.6099968829085608
1106081.0,0.7592859832482682,0.8202891262536821,0.6453011398792513
1106082.0,0.7656995487494597,0.7928935016497619,0.6260220287784263
1106083.0,0.7778103955182133,0.8223049358483694,0.6088497169726952
1106084.0,0.7300839769845631,0.7690289637266788,0.581622832307216
1106086.0,0.7649175557068253,0.7808130250279774,0.596332224148226
1106087.0,0.6815459594159219,0.7584243852676746,0.6112210334915029
1106088.0,0.7687476242101832,0.8141130077270754,0.6351072478181382
1106089.0,0.6999914886154547,0.8236893489684898,0.5528961238980203
1106090.0,0.7051966015630056,0.6896711524918814,0.5815792253650922
1106091.0,0.7844908839220327,0.7992672624721335,0.6087923639247725
1107052.0,0.7043287667357269,0.7453342995906866,0.6013543248019169
1107054.0,0.7399566274790482,0.7781475270420579,0.6117963975167489
1107055.0,0.6984637747998418,0.7702143534145841,0.6063983908950046
1107057.0,0.7410208616866474,0.7667861342646117,0.563475203321845
1107059.0,0.678231214783439,0.7732726508687701,0.5811711284331345
1107060.0,0.7377060426295928,0.787841732182334,0.6285302854922403
1107061.0,0.706001975266047,0.7050337861892814,0.5642151665280467
1107062.0,0.7062301250690247,0.7281779619805063,0.5912877430462476
1107064.0,0.6789558708490508,0.7545361532805873,0.5486668579991625
1107065.0,0.7225857501168493,0.738277826028544,0.5717510360765661
1107068.0,0.7303669482548198,0.7854677163923086,0.5630317232337754
1107069.0,0.7829248854141742,0.8046362572309168,0.5740533592763413
1107070.0,0.7238380166869062,0.761905713996702,0.5929375424948076
1107071.0,0.7245015017126435,0.7405443161032886,0.5693235008924882
1107072.0,0.7559324480272829,0.8121792417689501,0.5671816300124642
1107073.0,0.7808427939516227,0.8341541203533386,0.5838386159212299
1108058.0,0.7332150188250726,0.7021651696249718,0.586860475637936
1108059.0,0.667685211561631,0.7363192330974998,0.5650413006578173
1108060.0,0.6598452058731893,0.7457411806605204,0.5700736508498249
1108061.0,0.6888437249017116,0.7443287954255735,0.6211634797649923
1108062.0,0.7074657563178854,0.7729796514408891,0.5915393189066661
1108063.0,0.711120092282815,0.7724189856209026,0.5906300202840654
1108064.0,0.7737264481419258,0.7639539400702042,0.5556346146988811
1108065.0,0.6935677190334059,0.7402903655672484,0.532240915996385
1108066.0,0.6902108586239155,0.7489533264160416,0.5824795936108416
1108068.0,0.7094078655557599,0.7432274210263695,0.6242393972974428
1108071.0,0.711794567504352,0.7210022656147504,0.6041159786748452
1108072.0,0.7229380494130387,0.7079472867938021,0.5780035394225865
1108076.0,0.7140969416523523,0.7344468341010929,0.610698329458658
1108077.0,0.7465738167235682,0.7408407111968481,0.6117171097694167
1108078.0,0.7534948157539215,0.7446632132901475,0.6268833088870325
1108081.0,0.7073447378284395,0.7295427071835873,0.5934742786935533
1108082.0,0.6684606061453032,0.718892411160096,0.5801485884758353
1108083.0,0.6905924062172211,0.8030678432140449,0.6068575974411173
1108084.0,0.6588268307910528,0.7415508252306093,0.5889740243723179
1108085.0,0.7172850147266043,0.7725063075231255,0.6028459327375614
1109060.0,0.7337330357557331,0.7794606092981753,0.6510532275911506
1109061.0,0.7356812088019602,0.7460473671969782,0.6128525945997785
1109062.0,0.7467216944725911,0.7295487862300589,0.6553557577857498
1109063.0,0.7520207405650523,0.7635324986425014,0.5878585095738899
1109064.0,0.6926203622483414,0.7168426979011779,0.5745739001193885
1109065.0,0.7836327863575511,0.8063296441324923,0.6521071456477523
1109069.0,0.7245918155216092,0.7656570570446015,0.5702437099812442
1109070.0,0.7080602128191857,0.7746686477144715,0.6340973560205085
1109071.0,0.7407949171372379,0.7105186116989822,0.625537210118582
1109072.0,0.7384068355654393,0.7972415258614248,0.6085826777603986
1109073.0,0.7235097557268481,0.7240984087775189,0.5524146013108674
1109074.0,0.7512806472196276,0.7762244989903402,0.5548855915866673
1109075.0,0.6913131929848284,0.7493391320517719,0.561845084012526
1110051.0,0.7324147684275607,0.793890900787043,0.6203659264634489
1110052.0,0.7512964281039225,0.7597647177442292,0.6309074747248071
1110053.0,0.7416927447005208,0.7891087855094662,0.6463125721026404
1110054.0,0.7337868881061617,0.7676975776931291,0.6495470165498427
1110055.0,0.6489556355780642,0.6696339146459745,0.5979687651244399
1110056.0,0.6603595702890812,0.6574054937352777,0.5676069027812114
1110057.0,0.7115963460239338,0.7383036546728491,0.6219503438238754
1110059.0,0.7837126302940408,0.7905163348098881,0.6401990401481381
1110060.0,0.7404696278158972,0.7744128720874592,0.6632638476596496
1110061.0,0.7635911480859098,0.7725833702850136,0.6526427829576471
1110062.0,0.7445754506337818,0.753328186880935,0.6481314463826432
1110063.0,0.7670598120819477,0.8063222095259235,0.6261757479971839
1111051.0,0.6915146412729394,0.7595324165375116,0.5925761511185277
1111052.0,0.6879029912348049,0.7698525815025388,0.6434466961320896
1111053.0,0.7066703758212102,0.6978953362317623,0.5706287845592802
1111056.0,0.7358425901535572,0.7910195656256799,0.5513837327570852
1111058.0,0.7805887582524126,0.7677220412616849,0.6454444339692864
1111059.0,0.6948366284302624,0.7751940176098515,0.561432396437628
1111060.0,0.8112334961770891,0.7426735197955444,0.6417977981314376
1111061.0,0.7277935269194102,0.7380985076306034,0.6010396779932613
1111064.0,0.7416081974310579,0.7781611051400297,0.5649739009005523
1111066.0,0.6971190585886716,0.7542319364636266,0.640050674671949
1111069.0,0.6290001911940863,0.6701704941123572,0.5184731994414666
1111074.0,0.6349608972547337,0.6985983201668937,0.5795529142862258
1111077.0,0.7209648368513002,0.7769735808664303,0.6458253879454484
1111078.0,0.7229369604096717,0.7738670659589345,0.6353943830952266
1111079.0,0.6372695472911029,0.7300191364320604,0.5419053361057939
1112051.0,0.7392384685102441,0.7956907465425759,0.5656741138995267
1112052.0,0.7455952847993694,0.8224267925278774,0.5145748821123272
1112055.0,0.7575514128729253,0.8047201103098498,0.5159727049798687
1112056.0,0.7947014322314015,0.8439537051110719,0.5120159798280086
1112057.0,0.7765903853671308,0.8117915691439032,0.5321047784399813
1112058.0,0.7841208597040051,0.8210044097867422,0.642509899042524
1112059.0,0.7134968079020478,0.7495689709129358,0.5918920571234636
1112060.0,0.7376915601997792,0.7394981404398412,0.5585489735006468
1112065.0,0.7167356820973632,0.7940476813106281,0.5426488753740835
1112066.0,0.7332316572974266,0.8023143367879414,0.5945853618391564
1112067.0,0.7250698810004848,0.7552383587275705,0.5962044667641909
1112068.0,0.6624507948171058,0.6950518234795244,0.5735102861857799
1112071.0,0.8582255280848367,0.8908906293494899,0.40814098500239454
1112072.0,0.7822813762108599,0.7866624493260559,0.5370255273359508
1112073.0,0.7606701880309218,0.8002919612777845,0.6014758764554212
1112074.0,0.7122872344775489,0.7638470470758206,0.5620112543345206
1113052.0,0.7454912677735578,0.7888567241282529,0.5666614193039273
1113062.0,0.6854504193570637,0.7218800343677468,0.55388628372442
1113064.0,0.6851384148704447,0.7121311967010441,0.5420125659698137
