Model,CPC,R2,MAE,RMSE
Uniform,0.7205166825299165,0.7374923306306049,1387.0313803799372,5328.67506131206
Weighted,0.769862548062702,0.7788824327850956,1115.8811246161356,4390.112757357388
RadPop,0.30726327679858056,-5.01980139978033,3302.957855257676,24832.796823017354
RadPOI,0.36802013970219544,-5.2391564893313545,3156.017255148471,23391.414289025637
Power,0.5631779432563787,0.32896699745056557,2100.105621342214,8495.537839777506
Exp,0.6667121608811724,0.6402169109340812,1664.271611192857,6061.526283223719
