Zone,CPC,R2,MAE,RMSE,Total_Actual
1101053.0,0.6653123796192848,0.5245440737776175,2594.0718862935773,10200.354334728696,1631527.7255957392
1101054.0,0.7194639327983938,0.6031949121390088,534.1227020363901,2432.7318287807316,400778.5162891755
1101055.0,0.6684436679925231,0.5203979805280128,894.3054656733957,3039.3438923749886,567780.7429719202
1101056.0,0.6426670683269418,0.6131573894260844,897.6282674358972,2657.937142940608,528780.6791570411
1101057.0,0.7187950327790787,0.7202501424591103,362.74753971614984,1077.6680676649346,271539.8588612436
1101058.0,0.7283865707608649,0.7883871263842783,759.0128734817702,2086.3226209189,588233.8377578717
1101060.0,0.7401099207843931,0.7496444360698955,669.7699052207608,2815.646935705577,542485.3671771232
1101061.0,0.7265764798031366,0.5706899325270469,7052.519355164104,37656.13970303068,5429508.489954236
1101063.0,0.7155438888656618,0.5121318285774646,1674.5130176095884,6040.431480196857,1239154.2189098992
1101064.0,0.7002772917413718,0.49232108870342295,2723.798022574781,12313.365242991227,1912966.4451625207
1101067.0,0.7577288499362478,0.7567289246185924,607.2663465012645,1599.1044619443128,527630.161102049
1101068.0,0.7568680190434447,0.7830087392113128,348.25085300594793,1014.245953151174,301510.33306824014
1101069.0,0.7355878841612389,0.7332565606019413,174.82687701411956,487.16705095464107,139180.67821791302
1101070.0,0.7595414556291799,0.7733556732157272,358.3117649328394,993.5712817251203,313669.9788136765
1101071.0,0.7477732514964931,0.5985258811849421,942.4231368546599,3087.2247969074724,786514.7986282974
1101072.0,0.6996560528382275,0.5848044890964765,1273.149087058231,5532.778743329905,890183.7736660666
1101073.0,0.7393601102432941,0.763618467888718,1667.8696913073086,7750.861079069159,1347017.7966538807
1102052.0,0.7522029760199843,0.7729718424357906,2769.052070325166,10247.968130057818,2352269.8192309844
1102054.0,0.7206165889840328,0.5173385597244704,3148.4543356701,14601.18259332478,2366552.1445471
1102055.0,0.7242175255147868,0.6864537654079335,4006.5219056084934,17557.229804208164,3058108.9777545203
1102057.0,0.7030332050286043,0.6319917512453056,1514.4327024622085,5765.880535418735,1073480.5684218025
1102058.0,0.7162813665612651,0.6628366197779285,995.8459655702487,2811.476771166351,738850.2235888683
1102059.0,0.7503790629813196,0.6664432432300593,2051.779098444141,7116.772699180694,1730221.452498475
1102060.0,0.7133139185630144,0.5299473943165904,1776.4038364200646,6294.896790903579,1304329.1313345998
