ModelType,Params,CPC
Power-Pop,1.840455419051741,0.712111686409484
Exp-Pop,0.517021110027044,0.657745902851034
Power-POI,1.8718048479477183,0.7796999072757894
Exp-POI,0.519905440987805,0.7119766278874937
