N_clusters,Ratio,CPC,STD
161,0.4984520123839009,0.6116997909424127,0.002053659033803852
107,0.33126934984520123,0.6054356599476669,0.003433728979077548
80,0.2476780185758514,0.6024010450090711,0.003965199110356446
64,0.19814241486068113,0.6004777463660712,0.0037087710954034985
53,0.16408668730650156,0.5989229228045932,0.004052778722109554
46,0.14241486068111456,0.5995938837390807,0.004052145926682435
40,0.1238390092879257,0.5962770545656306,0.0055260482051791866
35,0.10835913312693499,0.5967319671743155,0.004658420136981867
32,0.09907120743034056,0.5980515185363758,0.00636663785339996
