Training_Ratio,CPC
0.01,0.2447036939617448
0.02,0.29091813321195326
0.03,0.2757912265161965
0.04,0.27562223891747856
0.05,0.2897448631017231
0.1,0.2816663915450276
0.2,0.2832119667642464
0.3,0.27959323706517897
0.4,0.2794300568744975
0.5,0.2797262400513915
1.0,0.2812393089580794
