ORIGIN_ZONE,DEST_SUBZONE,T_hat_ij
BMSZ02,BMSZ08,7585.126174387777
BMSZ02,BMSZ07,1656.8878747456415
BMSZ02,BMSZ13,863.5500574125222
BMSZ02,BMSZ09,911.8147935594711
BMSZ02,BMSZ01,304.5950152919246
BMSZ02,TNSZ02,134.02343593437786
BMSZ02,BMSZ05,255.88153668390385
BMSZ02,QTSZ05,80.7206265331065
BMSZ02,QTSZ06,90.28355827491009
BMSZ02,QTSZ07,60.524056943213225
BMSZ02,OTSZ01,41.93486815660188
BMSZ02,RVSZ01,12.766882991675878
BMSZ02,TNSZ03,35.88414570750996
BMSZ02,QTSZ14,17.191073351757776
BMSZ02,BMSZ17,36.564302619631576
BMSZ02,QTSZ12,0.728979272327512
BMSZ02,RVSZ04,24.236464075056233
BMSZ02,SRSZ02,12.521601785111999
BMSZ02,DTSZ07,29.86725920591348
BMSZ02,QTSZ04,40.54946697042418
BMSZ02,MUSZ02,4.277987277345296
BMSZ02,NTSZ04,9.700239788495244
BMSZ02,QTSZ08,29.530712804996053
BMSZ02,TNSZ01,25.117947742374692
BMSZ02,TNSZ04,21.50255432970788
BMSZ02,SISZ01,3.3947189064718972
BMSZ02,DTSZ11,1.1366190061027932
BMSZ02,RCSZ07,4.733154897771757
BMSZ02,NTSZ03,7.790859718483901
BMSZ02,DTSZ02,3.7399077659850466
BMSZ02,DTSZ06,0.08329289782495378
BMSZ02,QTSZ13,3.239647231527793
BMSZ02,BTSZ07,31.0459535203448
BMSZ02,SVSZ01,0.1498607120132985
BMSZ02,QTSZ01,28.2298358033176
BMSZ02,NVSZ02,25.307193791570118
BMSZ02,RCSZ01,16.907291945216414
BMSZ02,RCSZ02,10.015251964424088
BMSZ02,QTSZ15,5.220020899247351
BMSZ02,NVSZ03,2.9976089168579327
BMSZ02,NVSZ04,1.741256132671347
BMSZ02,QTSZ11,4.445349522357198
BMSZ02,QTSZ10,6.472091784854725
BMSZ02,KLSZ07,7.207579756524093
BMSZ02,BTSZ06,6.0902799716379965
BMSZ02,MSSZ01,0.0020641543662293874
BMSZ02,KLSZ09,11.747881722647563
BMSZ02,BTSZ04,4.336481959338678
BMSZ02,QTSZ09,2.989624388497973
BMSZ02,BTSZ05,10.329808685264673
BMSZ02,NVSZ05,4.120824876442347
BMSZ02,NVSZ01,39.32754242547138
BMSZ02,CLSZ07,7.133939584962617
BMSZ02,KLSZ08,4.7190321116122975
BMSZ02,BTSZ03,16.126853367049435
BMSZ02,KLSZ01,22.633454141151212
BMSZ02,CLSZ08,8.322467439620633
BMSZ02,KLSZ05,4.927497281865481
BMSZ02,TPSZ01,16.044830381381477
BMSZ02,CLSZ04,12.629857686873569
BMSZ02,KLSZ03,4.383811548802364
BMSZ02,CLSZ06,6.716946459107386
BMSZ02,BTSZ02,1.7409734527182865
BMSZ02,KLSZ02,5.231351081723776
BMSZ02,CLSZ02,1.4246890736788966
BMSZ02,MPSZ05,1.180769678914367
BMSZ02,TPSZ06,9.637806471493152
BMSZ02,CLSZ09,1.6063728752267032
BMSZ02,TPSZ09,3.1300886299169064
BMSZ02,CLSZ05,1.3671573325879174
BMSZ02,GLSZ01,2.976838922781694
BMSZ02,GLSZ04,13.486413492972162
BMSZ02,BTSZ01,4.810933867079537
BMSZ02,TPSZ11,3.33348010722758
BMSZ02,MPSZ01,4.895569194376028
BMSZ02,BSSZ03,6.580942654755267
BMSZ02,BSSZ01,8.060680556952814
BMSZ02,BSSZ02,9.527992049846505
BMSZ02,CLSZ01,0.7807209849556309
BMSZ02,SGSZ05,3.7297769160617915
BMSZ02,GLSZ02,3.279697967051799
BMSZ02,JESZ10,0.02929599290009838
BMSZ02,BPSZ07,1.2385307477089562
BMSZ02,JESZ08,3.17202885934589
BMSZ02,JESZ06,0.07838015697712478
BMSZ02,TPSZ12,1.159070301759833
BMSZ02,BKSZ09,2.402242361056627
BMSZ02,SGSZ07,2.5062470329482838
BMSZ02,GLSZ05,5.9683058236071584
BMSZ02,SGSZ06,2.2572277826507334
BMSZ02,AMSZ03,3.30786455820393
BMSZ02,JESZ03,2.01654450169113
BMSZ02,GLSZ03,2.420418983179668
BMSZ02,BKSZ05,2.546436734136387
BMSZ02,MPSZ03,3.215941438968358
BMSZ02,HGSZ08,1.208156309658348
BMSZ02,AMSZ07,0.4773411980750769
BMSZ02,AMSZ06,2.5409247237724686
BMSZ02,SGSZ04,5.63186378248974
BMSZ02,AMSZ01,2.0644557294669355
BMSZ02,BKSZ07,2.146214538078287
BMSZ02,CCSZ01,0.35289005969421333
BMSZ02,AMSZ02,2.4599988172143465
BMSZ02,JESZ07,0.005326950742867763
BMSZ02,BKSZ04,2.2050268234081223
BMSZ02,BPSZ06,1.272762820648096
BMSZ02,JESZ02,2.743507775194239
BMSZ02,BKSZ06,2.0105692103623682
BMSZ02,HGSZ07,2.6948664786234957
BMSZ02,AMSZ09,1.621524428231629
BMSZ02,JESZ04,0.13333108356540632
BMSZ02,HGSZ06,1.8082037985744304
BMSZ02,JESZ09,3.1470255404407694e-05
BMSZ02,SGSZ02,0.4857006716824088
BMSZ02,HGSZ09,0.026202679599655346
BMSZ02,BPSZ04,2.668760677464917
BMSZ02,AMSZ08,0.9957020638607794
BMSZ02,BDSZ01,2.206307599317266
BMSZ02,BKSZ03,1.8705540325896368
BMSZ02,BDSZ03,1.4816133898674502
BMSZ02,BKSZ01,0.837519626130808
BMSZ02,AMSZ10,0.532004576020673
BMSZ02,AMSZ12,0.3347345296788878
BMSZ02,BKSZ02,1.1599087473675853
BMSZ02,BDSZ05,2.2863981863034426
BMSZ02,BPSZ05,1.322864056169744
BMSZ02,JESZ01,0.8305322504128729
BMSZ02,JWSZ04,1.0849685852235462
BMSZ02,BDSZ07,0.2609584899573471
BMSZ02,SGSZ01,1.2153498952475374
BMSZ02,BPSZ03,1.3856813251511801
BMSZ02,HGSZ04,2.29683472586425
BMSZ02,AMSZ11,0.012730086605142998
BMSZ02,HGSZ05,3.2922195445151976
BMSZ02,CKSZ02,1.741808927423079
BMSZ02,BLSZ01,0.6568504040382394
BMSZ02,CKSZ01,1.512947976545918
BMSZ02,JWSZ05,0.034199843478621136
BMSZ02,HGSZ02,0.9689154175424765
BMSZ02,JWSZ03,1.543820562564379
BMSZ02,BPSZ01,0.9923169571777597
BMSZ02,YSSZ06,0.16697465080934212
BMSZ02,PLSZ05,0.004538224418294366
BMSZ02,THSZ01,0.638173726621347
BMSZ02,SESZ07,4.9907634919014494e-05
BMSZ02,HGSZ10,0.10911219039691238
BMSZ02,BDSZ02,1.2600993923611452
BMSZ02,HGSZ03,1.8996065447299704
BMSZ02,CKSZ03,0.5236820246378042
BMSZ02,SESZ05,0.6444917679347115
BMSZ02,YSSZ07,0.03051575179175435
BMSZ02,JWSZ02,0.8642521114931001
BMSZ02,CKSZ04,1.010236843319175
BMSZ02,SESZ06,1.2400373482082399
BMSZ02,BDSZ04,1.940402457236417
BMSZ02,PLSZ02,0.06307894639124435
BMSZ02,YSSZ05,0.6120577658727977
BMSZ02,SKSZ03,0.40598527417882363
BMSZ02,JWSZ09,1.525467829615769
BMSZ02,JWSZ06,0.0006049109660471795
BMSZ02,CKSZ05,0.7910976887469076
BMSZ02,BDSZ06,0.9042591900653977
BMSZ02,SESZ04,0.5668385281607448
BMSZ02,JWSZ01,0.4227980046512412
BMSZ02,BDSZ08,0.26598985503073885
BMSZ02,SESZ03,1.4906502670294373
BMSZ02,TMSZ03,1.6009315411023264
BMSZ02,SESZ01,1.5002097511958634e-20
BMSZ02,YSSZ08,0.2862068769789085
BMSZ02,SESZ02,1.61784199743863
BMSZ02,YSSZ04,0.5594699045286391
BMSZ02,CKSZ06,0.36102552278639793
BMSZ02,SLSZ01,0.021087379242675414
BMSZ02,JWSZ08,1.1577149505111863
BMSZ02,MDSZ01,4.505670204554691e-05
BMSZ02,PLSZ01,0.009893582385167264
BMSZ02,SLSZ04,0.11297714108828878
BMSZ02,PGSZ03,1.2504265257937515
BMSZ02,MDSZ02,0.05511802510401356
BMSZ02,YSSZ01,0.3844846115961606
BMSZ02,JWSZ07,3.899177880522924e-05
BMSZ02,PGSZ04,0.7327677293292287
BMSZ02,PNSZ01,6.436377791947613e-05
BMSZ02,SKSZ02,0.010298304488327808
BMSZ02,TMSZ01,0.3883211812354799
BMSZ02,TMSZ04,0.7938837995276476
BMSZ02,SKSZ04,0.0015903787571966204
BMSZ02,YSSZ03,0.9809122826365719
BMSZ02,WDSZ04,0.6562410925338902
BMSZ02,YSSZ09,0.7058793945707077
BMSZ02,TMSZ02,1.7340617479321956
BMSZ02,WDSZ05,0.3945103274037637
BMSZ02,PGSZ05,0.45385174871232364
BMSZ02,PRSZ01,0.005258083287360985
BMSZ02,SLSZ03,6.448485711920649e-06
BMSZ02,SLSZ02,4.9531649467352305e-06
BMSZ02,PRSZ02,0.47368306317717057
BMSZ02,SMSZ03,0.024238925620611335
BMSZ02,YSSZ02,0.2467098183788192
BMSZ02,PRSZ03,0.28501472674891576
BMSZ02,TMSZ05,0.09697616062279193
BMSZ02,PGSZ06,0.03725561642035825
BMSZ02,WDSZ03,1.4783518534198392
BMSZ02,WDSZ01,0.19849599689187378
BMSZ02,PGSZ01,0.04713638522439382
BMSZ02,WDSZ06,0.34620605240044156
BMSZ02,SKSZ01,0.0001694564107865502
BMSZ02,WCSZ01,0.22536164768120914
BMSZ02,PGSZ07,4.88845154048917e-20
BMSZ02,SBSZ03,0.39672242527113166
BMSZ02,SBSZ01,0.17722551122509902
BMSZ02,PRSZ05,0.7165834747052183
BMSZ02,SKSZ05,0.0001793627668810489
BMSZ02,SMSZ01,0.10034553888875386
BMSZ02,PRSZ08,0.07253877361011839
BMSZ02,PRSZ04,0.0909975921925609
BMSZ02,WDSZ07,0.11705783036285455
BMSZ02,WDSZ08,0.006875125218295067
BMSZ02,SBSZ05,0.28018047719784767
BMSZ02,SBSZ09,0.1442440725179047
BMSZ02,WDSZ09,0.09091196781901253
BMSZ02,SBSZ04,0.03006342423581877
BMSZ02,TSSZ01,4.5439521848303564e-07
BMSZ02,SBSZ06,0.012275463096320443
BMSZ02,PRSZ07,0.008414662013706135
BMSZ02,LKSZ01,0.0008860204705793301
BMSZ02,PRSZ06,0.005080285907925268
BMSZ02,CHSZ02,0.03179122788280338
BMSZ02,SBSZ08,0.00028315671659226064
BMSZ02,SBSZ07,0.0160797775573387
BMSZ02,CHSZ03,0.00023301362759349013
BMSZ02,CHSZ01,0.004594433461848133
BMSZ02,CBSZ01,7.282459911590484e-10
DTSZ06,DTSZ02,4934.53711326521
DTSZ06,DTSZ11,24.381047964307868
DTSZ06,DTSZ07,67.98436377916119
DTSZ06,SRSZ02,4.345910724019596
DTSZ06,MSSZ01,0.0017027146581054208
DTSZ06,MUSZ02,1.2726293155160475
DTSZ06,SVSZ01,0.06381873474929999
DTSZ06,OTSZ01,4.1960610373871035
DTSZ06,KLSZ09,2.520847918987916
DTSZ06,RCSZ07,0.3456826892888506
DTSZ06,RVSZ04,0.8156919670912575
DTSZ06,BMSZ05,1.7203138994827718
DTSZ06,RCSZ02,0.28625643989374533
DTSZ06,RCSZ01,0.3579058831422264
DTSZ06,BMSZ09,0.5796620046986062
DTSZ06,KLSZ05,0.12289642197370876
DTSZ06,BMSZ17,0.1080719208688389
DTSZ06,NTSZ04,0.03731088577442433
DTSZ06,KLSZ07,0.061237707636974316
DTSZ06,KLSZ08,0.058282691701269214
DTSZ06,NTSZ03,0.03229560521806794
DTSZ06,MPSZ05,0.025826276650385813
DTSZ06,RVSZ01,0.02127181418917951
DTSZ06,BMSZ08,0.1327127968028726
DTSZ06,TNSZ02,0.06018387169542615
DTSZ06,NVSZ02,0.08530716825243415
DTSZ06,KLSZ03,0.04623604602746147
DTSZ06,BMSZ02,0.05431451843804707
DTSZ06,KLSZ01,0.12087352464649179
DTSZ06,KLSZ02,0.03683261408330146
DTSZ06,NVSZ01,0.1020798485888165
DTSZ06,MPSZ01,0.034745305727831244
DTSZ06,GLSZ04,0.06848148967089858
DTSZ06,TNSZ01,0.013797229990119713
DTSZ06,NVSZ03,0.003027540412225022
DTSZ06,SISZ01,0.002004139795595375
DTSZ06,BMSZ01,0.021452883597437033
DTSZ06,BMSZ07,0.016457991382050768
DTSZ06,GLSZ01,0.009743849272323447
DTSZ06,BMSZ13,0.014664366735764562
DTSZ06,TNSZ03,0.007654006387822272
DTSZ06,QTSZ05,0.009800081417042743
DTSZ06,TPSZ09,0.008222922688314862
DTSZ06,TNSZ04,0.008178066466149407
DTSZ06,TPSZ11,0.010124752215896708
DTSZ06,TPSZ06,0.020253858985360227
DTSZ06,GLSZ02,0.012386840067364473
DTSZ06,QTSZ06,0.009115340438661803
DTSZ06,NVSZ04,0.0008851656945193694
DTSZ06,GLSZ05,0.02315346821751969
DTSZ06,NVSZ05,0.002359554828748728
DTSZ06,TPSZ01,0.01664038977044405
DTSZ06,MPSZ03,0.012511125639724048
DTSZ06,QTSZ07,0.004887107211834477
DTSZ06,TPSZ12,0.0030046451512953155
DTSZ06,QTSZ04,0.005767638546173389
DTSZ06,GLSZ03,0.0074964930226814755
DTSZ06,QTSZ14,0.0016138001298624778
DTSZ06,QTSZ12,7.591609322603446e-05
DTSZ06,SGSZ05,0.007497772622455263
DTSZ06,BSSZ03,0.00974278211411317
DTSZ06,SGSZ07,0.0052918799567007345
DTSZ06,QTSZ08,0.003727575939865158
DTSZ06,BTSZ07,0.005248875852522325
DTSZ06,BTSZ05,0.0031805588460817624
DTSZ06,BTSZ06,0.0016198165818242167
DTSZ06,HGSZ08,0.003011642163681631
DTSZ06,SGSZ06,0.0044592933136786755
DTSZ06,BSSZ02,0.012377277850107608
DTSZ06,QTSZ01,0.004172957023085907
DTSZ06,BDSZ05,0.00951455460953602
DTSZ06,BDSZ03,0.0052461731456639
DTSZ06,BDSZ01,0.006873596172366476
DTSZ06,QTSZ13,0.0003248812060107988
