ORIGIN_ZONE,DEST_SUBZONE,T_hat_ij
AMSZ01,OTSZ02,55.03652189448902
AMSZ01,BMSZ02,55.03652189448902
AMSZ01,OTSZ03,55.03652189448902
AMSZ01,DTSZ04,38.56837773572196
AMSZ01,DTSZ05,38.56837773572196
AMSZ01,OTSZ04,38.56837773572196
AMSZ01,BMSZ10,38.56837773572196
AMSZ01,DTSZ12,38.56837773572196
AMSZ01,BMSZ04,55.03652189448902
AMSZ01,DTSZ06,38.56837773572196
AMSZ01,MSSZ01,55.03652189448902
AMSZ01,OTSZ01,38.56837773572196
AMSZ01,SRSZ03,38.56837773572196
AMSZ01,BMSZ08,38.56837773572196
AMSZ01,BMSZ03,38.56837773572196
AMSZ01,BMSZ07,55.03652189448902
AMSZ01,BMSZ09,38.56837773572196
AMSZ01,SRSZ02,38.56837773572196
AMSZ01,BMSZ15,20.70072385614228
AMSZ01,DTSZ09,55.03652189448902
AMSZ01,BMSZ16,55.03652189448902
AMSZ01,BMSZ14,55.03652189448902
AMSZ01,DTSZ07,55.03652189448902
AMSZ01,DTSZ08,55.03652189448902
AMSZ01,BMSZ11,55.03652189448902
AMSZ01,BMSZ13,20.70072385614228
AMSZ01,QTSZ14,11.686671481197804
AMSZ01,QTSZ13,11.686671481197804
AMSZ01,QTSZ07,55.03652189448902
AMSZ01,QTSZ12,20.70072385614228
AMSZ01,BMSZ06,38.56837773572196
AMSZ01,MESZ01,38.56837773572196
AMSZ01,RVSZ05,55.739399416842986
AMSZ01,SRSZ01,38.56837773572196
AMSZ01,WISZ01,0.35612684908523534
AMSZ01,WISZ03,0.6486790580003021
AMSZ01,WISZ02,0.35612684908523534
AMSZ01,SISZ02,1.0048059070855375
AMSZ01,SISZ01,2.7841468868818526
AMSZ01,BMSZ17,20.70072385614228
AMSZ01,DTSZ10,55.03652189448902
AMSZ01,SVSZ01,20.70072385614228
AMSZ01,BMSZ01,11.686671481197804
AMSZ01,DTSZ11,55.03652189448902
AMSZ01,BMSZ05,55.03652189448902
AMSZ01,BMSZ12,55.03652189448902
AMSZ01,MPSZ04,55.03652189448902
AMSZ01,QTSZ11,20.70072385614228
AMSZ01,RVSZ01,55.739399416842986
AMSZ01,RCSZ04,54.21338704850495
AMSZ01,KLSZ09,55.739399416842986
AMSZ01,QTSZ05,38.56837773572196
AMSZ01,ORSZ01,54.21338704850495
AMSZ01,MPSZ03,55.03652189448902
AMSZ01,QTSZ04,38.56837773572196
AMSZ01,RCSZ06,54.21338704850495
AMSZ01,RCSZ03,54.21338704850495
AMSZ01,QTSZ08,55.03652189448902
AMSZ01,KLSZ05,55.739399416842986
AMSZ01,MPSZ01,38.56837773572196
AMSZ01,QTSZ03,38.56837773572196
AMSZ01,QTSZ10,55.03652189448902
AMSZ01,ORSZ02,54.21338704850495
AMSZ01,NTSZ06,54.21338704850495
AMSZ01,RCSZ02,54.21338704850495
AMSZ01,PNSZ04,0.35612684908523534
AMSZ01,TNSZ03,55.739399416842986
AMSZ01,NTSZ04,54.21338704850495
AMSZ01,CLSZ08,11.686671481197804
AMSZ01,NTSZ05,54.21338704850495
AMSZ01,BDSZ07,20.70072385614228
AMSZ01,CLSZ07,20.70072385614228
AMSZ01,MUSZ02,55.739399416842986
AMSZ01,MPSZ05,38.56837773572196
AMSZ01,DTSZ03,38.56837773572196
AMSZ01,ORSZ03,54.21338704850495
AMSZ01,RCSZ09,54.21338704850495
AMSZ01,TNSZ02,55.739399416842986
AMSZ01,PNSZ05,0.29158225969267054
AMSZ01,JESZ10,3.8230033289047327
AMSZ01,NTSZ01,54.21338704850495
AMSZ01,KLSZ04,54.21338704850495
AMSZ01,RCSZ05,54.21338704850495
AMSZ01,RCSZ08,54.21338704850495
AMSZ01,RCSZ07,54.21338704850495
AMSZ01,PNSZ01,1.0375631763930182
AMSZ01,GLSZ01,99.27813616435337
AMSZ01,JESZ06,11.686671481197804
AMSZ01,BLSZ01,1.0048059070855375
AMSZ01,BTSZ06,54.21338704850495
AMSZ01,BDSZ03,38.56837773572196
AMSZ01,MPSZ02,38.56837773572196
AMSZ01,QTSZ02,38.56837773572196
AMSZ01,RCSZ01,54.21338704850495
AMSZ01,NTSZ03,99.27813616435337
AMSZ01,JESZ09,0.8744234626705465
AMSZ01,BLSZ03,5.669798745760802
AMSZ01,BLSZ04,0.16184644809261017
AMSZ01,QTSZ01,38.56837773572196
AMSZ01,KLSZ06,99.27813616435337
AMSZ01,NTSZ02,99.27813616435337
AMSZ01,CLSZ09,11.686671481197804
AMSZ01,QTSZ09,55.03652189448902
AMSZ01,CLSZ06,20.70072385614228
AMSZ01,KLSZ07,99.27813616435337
AMSZ01,KLSZ03,54.21338704850495
AMSZ01,KLSZ08,99.27813616435337
AMSZ01,BTSZ04,38.56837773572196
AMSZ01,BTSZ08,54.21338704850495
AMSZ01,TNSZ01,99.27813616435337
AMSZ01,CLSZ05,20.70072385614228
AMSZ01,BDSZ08,2.7841468868818526
AMSZ01,PNSZ03,0.16184644809261017
AMSZ01,PNSZ02,0.35612684908523534
AMSZ01,GLSZ04,54.21338704850495
AMSZ01,TNSZ04,54.21338704850495
AMSZ01,NVSZ02,99.27813616435337
AMSZ01,BLSZ02,1.0048059070855375
AMSZ01,BDSZ05,55.03652189448902
AMSZ01,CLSZ04,55.03652189448902
AMSZ01,MUSZ03,55.739399416842986
AMSZ01,RVSZ04,55.739399416842986
AMSZ01,DTSZ02,55.739399416842986
AMSZ01,QTSZ06,55.03652189448902
AMSZ01,RVSZ03,55.739399416842986
AMSZ01,QTSZ15,2.7841468868818526
AMSZ01,MUSZ01,55.739399416842986
AMSZ01,DTSZ01,55.739399416842986
AMSZ01,RCSZ10,55.739399416842986
AMSZ01,RVSZ02,55.739399416842986
AMSZ01,TSSZ04,0.2594716232001209
AMSZ01,BTSZ07,55.739399416842986
AMSZ01,GLSZ05,55.739399416842986
AMSZ01,JESZ08,2.7841468868818526
AMSZ01,JESZ07,3.8230033289047327
AMSZ01,KLSZ02,99.27813616435337
AMSZ01,CLSZ03,20.70072385614228
AMSZ01,NVSZ03,126.23687765606074
AMSZ01,BDSZ06,11.686671481197804
AMSZ01,TMSZ02,20.70072385614228
AMSZ01,BDSZ01,55.739399416842986
AMSZ01,JESZ02,11.686671481197804
AMSZ01,BKSZ09,55.03652189448902
AMSZ01,JWSZ09,1.0048059070855375
