ORIGIN_SUBZONE,distance_bin,prob
AMSZ01,0.0,0.27515411090456804
AMSZ01,1.0,0.2805093479458399
AMSZ01,2.0,0.17280710224262746
AMSZ01,3.0,0.038837941438176954
AMSZ01,4.0,0.050816530200649086
AMSZ01,5.0,0.04799476124308712
AMSZ01,6.0,0.03774515442982417
AMSZ01,7.0,0.020611715180893848
AMSZ01,8.0,0.021191899043425128
AMSZ01,9.0,0.01466354456264786
AMSZ01,10.0,0.020924667791394142
AMSZ01,11.0,0.0078703332772658
AMSZ01,12.0,0.004443226241658827
AMSZ01,13.0,0.0010585216268232326
AMSZ01,14.0,0.001453490734317926
AMSZ01,15.0,0.00033245233956569957
AMSZ01,16.0,0.00038202322888250404
AMSZ01,17.0,0.002155635042246149
AMSZ01,18.0,6.153337898145946e-05
AMSZ01,19.0,0.0003944774130209261
AMSZ01,20.0,0.00013539801848289914
AMSZ01,22.0,0.00011085842106138043
AMSZ01,23.0,9.865008415984198e-05
AMSZ01,24.0,0.0002466252103996049
AMSZ02,0.0,0.2563039894209482
AMSZ02,1.0,0.1208909481067428
AMSZ02,2.0,0.07972183295574267
AMSZ02,3.0,0.046755870302854864
AMSZ02,4.0,0.04621548032246376
AMSZ02,5.0,0.04371414374318525
AMSZ02,6.0,0.07339331970524729
AMSZ02,7.0,0.0489830770106599
AMSZ02,8.0,0.05017560493142518
AMSZ02,9.0,0.07258652858932314
AMSZ02,10.0,0.07057345336738326
AMSZ02,11.0,0.03386020351055105
AMSZ02,12.0,0.024291714568730235
AMSZ02,13.0,0.01171535551848191
AMSZ02,14.0,0.0008986860328231423
AMSZ02,15.0,0.003950448687710084
AMSZ02,16.0,0.004643820842146008
AMSZ02,17.0,0.006864443836662043
AMSZ02,18.0,0.00120997427349577
AMSZ02,19.0,0.00019308080281101554
AMSZ02,20.0,0.0009596509015546512
AMSZ02,21.0,0.0007468577197028391
AMSZ02,22.0,6.096486873150876e-05
AMSZ02,23.0,0.0004471264743535398
AMSZ02,24.0,0.00043678796676962394
AMSZ02,25.0,0.00020321622910502923
AMSZ02,28.0,0.00020341931039493131
AMSZ03,0.0,0.17892841349936509
AMSZ03,1.0,0.22518645587788869
AMSZ03,2.0,0.1324589980192829
AMSZ03,3.0,0.06585075447807096
AMSZ03,4.0,0.04283417633983141
AMSZ03,5.0,0.053422726679473925
AMSZ03,6.0,0.040916572371347625
AMSZ03,7.0,0.07160365823791624
AMSZ03,8.0,0.033779526021940134
AMSZ03,9.0,0.04805509730684065
AMSZ03,10.0,0.031190032127822172
AMSZ03,11.0,0.033856660664668504
AMSZ03,12.0,0.014948704958056336
AMSZ03,13.0,0.00861032418132645
AMSZ03,14.0,0.001909901393866027
AMSZ03,15.0,0.001711729662726715
AMSZ03,16.0,0.005001992563198873
AMSZ03,17.0,0.0035372084217538376
AMSZ03,18.0,0.0022317013540863848
AMSZ03,19.0,0.0003734758279132326
AMSZ03,20.0,0.0007675390864021722
AMSZ03,21.0,0.0009965919634050448
AMSZ03,22.0,0.00031171353618611176
AMSZ03,23.0,0.0005298508241403078
AMSZ03,24.0,0.0006745847119310796
AMSZ03,25.0,0.00031160989055930796
AMSZ04,0.0,0.15690326272283467
AMSZ04,1.0,0.33970411151943564
AMSZ04,2.0,0.10668126639950844
AMSZ04,3.0,0.042063072559344945
AMSZ04,4.0,0.05201566998192359
AMSZ04,5.0,0.04920666345826054
AMSZ04,6.0,0.060530935198459396
AMSZ04,7.0,0.0400149294330062
AMSZ04,8.0,0.03070893284255732
AMSZ04,9.0,0.05227643802818284
AMSZ04,10.0,0.018863236743697134
AMSZ04,11.0,0.023642971956986537
AMSZ04,12.0,0.009880672714758124
AMSZ04,13.0,0.0018925371624079399
AMSZ04,14.0,0.004065791951116175
AMSZ04,15.0,0.0010613859377147936
AMSZ04,16.0,0.001361049741248024
AMSZ04,17.0,0.005199784788552629
AMSZ04,18.0,0.00019446089802916273
AMSZ04,19.0,0.0009191734025254337
AMSZ04,20.0,0.0003535010709780721
AMSZ04,22.0,0.0010270244823712329
AMSZ04,23.0,0.0003005465283138075
AMSZ04,24.0,0.0011325804777875311
AMSZ05,0.0,0.163177135824439
AMSZ05,1.0,0.3710494660437155
AMSZ05,2.0,0.0802421793530244
AMSZ05,3.0,0.051616675573098195
AMSZ05,4.0,0.020277254550202895
AMSZ05,5.0,0.056175828048860496
AMSZ05,6.0,0.04840290650278379
AMSZ05,7.0,0.05211965606991813
AMSZ05,8.0,0.03875692895949517
AMSZ05,9.0,0.04611963772928139
AMSZ05,10.0,0.02822834162556942
AMSZ05,11.0,0.017688150032870463
AMSZ05,12.0,0.00581908530456517
AMSZ05,13.0,0.005981495314909134
AMSZ05,14.0,0.0021953391366832243
AMSZ05,15.0,0.004134111735944363
AMSZ05,16.0,0.002148837437057029
AMSZ05,17.0,4.6271074061049114e-05
AMSZ05,18.0,0.00424955879553184
AMSZ05,19.0,0.00041574778985400333
AMSZ05,21.0,0.0005547916376022968
AMSZ05,22.0,0.0006006014605330536
AMSZ06,0.0,0.283655806816737
AMSZ06,1.0,0.1730915398637095
AMSZ06,2.0,0.04457389621324396
AMSZ06,3.0,0.055744369960037454
AMSZ06,4.0,0.041525321707966016
AMSZ06,5.0,0.03818755395175307
AMSZ06,6.0,0.05845533409343812
AMSZ06,7.0,0.047161002143733026
AMSZ06,8.0,0.06023279147495719
AMSZ06,9.0,0.06504448477782218
AMSZ06,10.0,0.06487574729061728
AMSZ06,11.0,0.0337440852966942
AMSZ06,12.0,0.007880892592203015
AMSZ06,13.0,0.006844846140765638
AMSZ06,14.0,0.0025791860851618244
AMSZ06,15.0,0.005353659090285617
AMSZ06,16.0,0.003058842387041238
AMSZ06,18.0,0.004598264158402739
AMSZ06,19.0,0.0003725643962223211
AMSZ06,20.0,0.0007841596202773003
AMSZ06,21.0,0.0009049699661382212
AMSZ06,22.0,0.00047899239788603057
AMSZ06,23.0,0.0005457256677236984
AMSZ06,24.0,0.00027932371156773333
AMSZ06,27.0,2.6640195615596505e-05
AMSZ07,0.0,0.10623856515715464
AMSZ07,1.0,0.2744658846198646
AMSZ07,2.0,0.06542198182978559
AMSZ07,3.0,0.04636190143108213
AMSZ07,4.0,0.0710658292281058
AMSZ07,5.0,0.051074464134683265
AMSZ07,6.0,0.07468385238595003
AMSZ07,7.0,0.06873375701595107
AMSZ07,8.0,0.07772553450502495
AMSZ07,9.0,0.06273715100054071
AMSZ07,10.0,0.0416394538748259
AMSZ07,11.0,0.015338157510778314
AMSZ07,12.0,0.011136932172249791
AMSZ07,13.0,0.009956827690465533
AMSZ07,14.0,0.00416346416644932
AMSZ07,15.0,0.006973905479467083
AMSZ07,16.0,0.00311457962123367
AMSZ07,17.0,0.0010084985311367874
AMSZ07,19.0,0.0059671568429967336
AMSZ07,20.0,0.0005700779706860028
AMSZ07,21.0,0.0005696404970193931
AMSZ07,22.0,0.0007895069877447
AMSZ07,23.0,0.0002628773468038269
AMSZ08,0.0,0.061479914219388414
AMSZ08,1.0,0.0823270441938112
AMSZ08,2.0,0.08972705799490527
AMSZ08,3.0,0.13519549377955173
AMSZ08,4.0,0.0770483484473371
AMSZ08,5.0,0.05418561404177212
AMSZ08,6.0,0.0775429543576395
AMSZ08,7.0,0.09050997139983183
AMSZ08,8.0,0.07427496883931775
AMSZ08,9.0,0.06299552409871595
AMSZ08,10.0,0.05522665797087957
AMSZ08,11.0,0.046574241306788805
AMSZ08,12.0,0.030027917466367633
AMSZ08,13.0,0.0166747807612961
AMSZ08,14.0,0.01707870339233685
AMSZ08,15.0,0.008409731927175266
AMSZ08,16.0,0.005756242708340704
AMSZ08,17.0,0.0029011666241129837
AMSZ08,19.0,0.008083931909015678
AMSZ08,20.0,0.001351537313286938
AMSZ08,21.0,0.0005003474789197727
AMSZ08,22.0,0.000875982538236822
AMSZ08,23.0,0.0005759737576194753
AMSZ08,26.0,0.0006758934733525421
AMSZ09,0.0,0.28614774378186886
AMSZ09,1.0,0.23544759576889074
AMSZ09,2.0,0.054401997554379154
AMSZ09,3.0,0.04151747018394887
AMSZ09,4.0,0.056944707640806294
AMSZ09,5.0,0.05256530543214532
AMSZ09,6.0,0.030743197763980375
AMSZ09,7.0,0.04886817827825073
AMSZ09,8.0,0.04753865953331638
AMSZ09,9.0,0.039334225474819504
AMSZ09,10.0,0.03474371659547448
AMSZ09,11.0,0.02879558344920218
AMSZ09,12.0,0.017803877046229155
AMSZ09,13.0,0.0070303372070693315
AMSZ09,14.0,0.0026525038635481684
AMSZ09,15.0,0.004263326058887058
AMSZ09,16.0,0.0036542514635971254
AMSZ09,17.0,0.00013751399492264858
AMSZ09,18.0,0.004401232270094659
AMSZ09,20.0,0.00047175670850976126
AMSZ09,21.0,0.001022597120770261
AMSZ09,22.0,0.00029489696985421994
AMSZ09,23.0,0.0004719528166522377
AMSZ09,24.0,0.0003737845654624819
AMSZ09,27.0,0.0003735884573200056
AMSZ10,0.0,0.0971561588591473
AMSZ10,1.0,0.13842053261219608
AMSZ10,2.0,0.06365333618002404
AMSZ10,3.0,0.06134298446660655
AMSZ10,4.0,0.0809560135918401
AMSZ10,5.0,0.10325433667146164
AMSZ10,6.0,0.02905619574639665
AMSZ10,7.0,0.0957157317253558
AMSZ10,8.0,0.060551277420919265
AMSZ10,9.0,0.06864435565616582
AMSZ10,10.0,0.04642687054096864
AMSZ10,11.0,0.06721056400291656
AMSZ10,12.0,0.048462117259764306
AMSZ10,13.0,0.012578330661093552
AMSZ10,14.0,0.0030886311313304544
AMSZ10,15.0,0.007045635209896402
AMSZ10,16.0,0.007022577603332913
AMSZ10,17.0,0.006252681926057566
AMSZ10,18.0,0.00015563622081210437
AMSZ10,19.0,0.001088210731666955
AMSZ10,21.0,0.0005595861336468362
AMSZ10,22.0,0.0004876877766338777
AMSZ10,23.0,0.0004456117090646754
AMSZ10,24.0,0.0001140779924169754
AMSZ10,25.0,0.0001968837457027894
AMSZ10,28.0,0.00011397442458216075
AMSZ11,0.0,0.045653119266800796
AMSZ11,1.0,0.053388618167989184
AMSZ11,2.0,0.08849056310718595
AMSZ11,3.0,0.13691354986528714
AMSZ11,4.0,0.11058873667041057
AMSZ11,5.0,0.09597454150309982
AMSZ11,6.0,0.058443749758811184
AMSZ11,7.0,0.07318090388044453
AMSZ11,8.0,0.06742802801388194
AMSZ11,9.0,0.08574376411045659
AMSZ11,10.0,0.05739797962091889
AMSZ11,11.0,0.037565457208700165
AMSZ11,12.0,0.05362235144192118
AMSZ11,13.0,0.017489492992437072
AMSZ11,14.0,0.00576773249416752
AMSZ11,15.0,0.0036607165646277817
AMSZ11,17.0,0.007448725266629603
AMSZ11,25.0,0.0012419700662301054
AMSZ12,0.0,0.07716176670679689
AMSZ12,1.0,0.13392531407045172
AMSZ12,2.0,0.125973614985453
AMSZ12,3.0,0.13830139835244548
AMSZ12,4.0,0.1155469570891933
AMSZ12,5.0,0.12248160568967024
AMSZ12,6.0,0.04378275981887007
AMSZ12,7.0,0.038600827760164234
AMSZ12,8.0,0.0425224162430043
AMSZ12,9.0,0.043953230510545
AMSZ12,10.0,0.029977565374385146
AMSZ12,11.0,0.05576078627995269
AMSZ12,12.0,0.011530073284293155
AMSZ12,13.0,0.0047839776675925
AMSZ12,14.0,0.002849229559135075
AMSZ12,15.0,0.0006838719273539685
AMSZ12,16.0,0.006922533790338384
AMSZ12,17.0,0.0013674596889001844
AMSZ12,18.0,0.0031915917715236875
AMSZ12,20.0,0.0006830194299307106
BDSZ01,0.0,0.11739063078092576
BDSZ01,1.0,0.12150660614475256
BDSZ01,2.0,0.1815039509165914
BDSZ01,3.0,0.10706391566699766
BDSZ01,4.0,0.06115293065156933
BDSZ01,5.0,0.0862051545360055
BDSZ01,6.0,0.06704243863200213
BDSZ01,7.0,0.05979878891571678
BDSZ01,8.0,0.03575600082480509
BDSZ01,9.0,0.03556135706512592
BDSZ01,10.0,0.02373786293895628
BDSZ01,11.0,0.006145067130809032
BDSZ01,12.0,0.016296317232690267
BDSZ01,13.0,0.010677613773638317
BDSZ01,14.0,0.005797489880866896
BDSZ01,15.0,0.009026131285597948
BDSZ01,16.0,0.011791876978206798
BDSZ01,17.0,0.011634080517275039
BDSZ01,18.0,0.010817764792679955
BDSZ01,19.0,0.005593269413478846
BDSZ01,20.0,0.0017550146329697548
BDSZ01,21.0,0.0016531370756596973
BDSZ01,22.0,0.0014245494041780092
BDSZ01,23.0,0.004404889461013091
BDSZ01,24.0,0.00028507533959753453
BDSZ01,25.0,0.0024288008688204167
BDSZ01,26.0,0.0005699955616057572
BDSZ01,27.0,0.0002126648851826903
BDSZ01,28.0,0.0007148681762985496
BDSZ01,29.0,0.0005903814142403895
BDSZ01,30.0,0.0009843309647757101
BDSZ01,32.0,0.00047704413696696884
BDSZ02,0.0,0.11505197779920352
BDSZ02,1.0,0.31200020291562597
BDSZ02,2.0,0.048570977870882326
BDSZ02,3.0,0.14631890944058237
BDSZ02,4.0,0.08180569085323992
BDSZ02,5.0,0.031086913527636047
BDSZ02,6.0,0.021653140731672
BDSZ02,7.0,0.02241207022019801
BDSZ02,8.0,0.05483220002696343
BDSZ02,9.0,0.03550814455274568
BDSZ02,10.0,0.03053186708175598
BDSZ02,11.0,0.030804620821955724
BDSZ02,12.0,0.008961272717990302
BDSZ02,13.0,0.006344196419955294
BDSZ02,14.0,0.012558227798666083
BDSZ02,15.0,0.007155690021416836
BDSZ02,16.0,0.0038248970186601605
BDSZ02,17.0,0.008413134323325046
BDSZ02,18.0,0.004310003482749161
BDSZ02,19.0,0.0057527587852283105
BDSZ02,20.0,0.00440332728568292
BDSZ02,21.0,0.0007768822958275815
BDSZ02,22.0,0.0006823555481269
BDSZ02,23.0,0.00021399894657254858
BDSZ02,24.0,0.0011505784891515936
BDSZ02,25.0,0.0008978247605256866
BDSZ02,26.0,0.0015812495928898508
BDSZ02,27.0,0.0006824892086565581
BDSZ02,28.0,0.0003345404296816797
BDSZ02,29.0,0.00029471636339105725
BDSZ02,30.0,0.0004557502154391007
BDSZ02,31.0,0.00026749868321568576
BDSZ02,32.0,0.0003618917703867092
BDSZ03,0.0,0.11711605678385804
BDSZ03,1.0,0.08033739732180428
BDSZ03,2.0,0.3079493143035711
BDSZ03,3.0,0.09492331975910542
BDSZ03,4.0,0.032929907049081455
BDSZ03,5.0,0.06370890672551717
BDSZ03,6.0,0.03406764366913259
BDSZ03,7.0,0.05937505209685331
BDSZ03,8.0,0.05674333930319956
BDSZ03,9.0,0.045267879097196775
BDSZ03,10.0,0.016557504154340416
BDSZ03,11.0,0.007465110614823159
BDSZ03,12.0,0.009902875375815003
BDSZ03,13.0,0.005216147568268818
BDSZ03,14.0,0.009426161087810652
BDSZ03,15.0,0.008096427072020114
BDSZ03,16.0,0.005891227795542211
BDSZ03,17.0,0.008644303468785098
BDSZ03,18.0,0.007631778057454327
BDSZ03,19.0,0.01144123784168374
BDSZ03,20.0,0.003653992288974694
BDSZ03,21.0,0.002759444216772533
BDSZ03,22.0,0.0010406676741408704
BDSZ03,23.0,0.0026272875804811088
BDSZ03,24.0,0.0015683796018134172
BDSZ03,25.0,0.002160907913791093
BDSZ03,26.0,0.0007939228924641167
BDSZ03,27.0,0.00026013086328262954
BDSZ03,28.0,0.0002892826731651953
BDSZ03,29.0,0.0004989206703158622
BDSZ03,30.0,0.00023112327441041615
BDSZ03,31.0,0.0008891890757449826
BDSZ03,33.0,0.0005351621287798347
BDSZ04,0.0,0.28565032151894987
BDSZ04,1.0,0.0786349001423945
BDSZ04,2.0,0.21380796372831165
BDSZ04,3.0,0.06848954187369144
BDSZ04,4.0,0.07584110833323308
BDSZ04,5.0,0.016663433736087283
BDSZ04,6.0,0.03595861754122686
BDSZ04,7.0,0.03927260282711983
BDSZ04,8.0,0.02086860039281437
BDSZ04,9.0,0.029479809008638978
BDSZ04,10.0,0.03077060151647225
BDSZ04,11.0,0.03110650589490388
BDSZ04,12.0,0.006747681034745013
BDSZ04,13.0,0.00526971424994759
BDSZ04,14.0,0.00649424741937215
BDSZ04,15.0,0.008345677266445339
BDSZ04,16.0,0.006611422732841047
BDSZ04,17.0,0.00217712809198044
BDSZ04,18.0,0.006264357007828467
BDSZ04,19.0,0.007823601585824014
BDSZ04,20.0,0.005867974069820415
BDSZ04,21.0,0.0066534981089726745
BDSZ04,22.0,0.002024449544709109
BDSZ04,23.0,0.0014030683482820759
BDSZ04,24.0,0.0008109675586389799
BDSZ04,25.0,0.000717060040932952
BDSZ04,26.0,0.002664710833469174
BDSZ04,27.0,0.0011370600900145712
BDSZ04,28.0,0.0008160249566034676
BDSZ04,29.0,0.00030313639966116865
BDSZ04,30.0,0.00010205820118869551
BDSZ04,31.0,0.00040815018233488897
BDSZ04,32.0,0.00022326318760122716
BDSZ04,33.0,0.0004995978530752504
BDSZ04,35.0,9.114472186742018e-05
BDSZ05,0.0,0.17157672264659551
BDSZ05,1.0,0.1429716518855107
BDSZ05,2.0,0.2503392783654977
BDSZ05,3.0,0.03264759078323768
