Cluster,CPC
0,0.5738424537754988
1,0.5960381027904588
2,0.5444256240990674
3,0.5631508749678639
4,0.5963356622210048
5,0.5702813756744299
6,0.5887762765757104
7,0.5724297789538626
8,0.4822808424173267
9,0.590393183010183
