ORIGIN_ZONE,DEST_SUBZONE,T_hat_ij
OTSZ02,OTSZ02,120.18682298715106
OTSZ02,BMSZ02,43.39653989052377
OTSZ02,OTSZ03,463.1492500358906
OTSZ02,DTSZ04,11.741811972740889
OTSZ02,DTSZ05,61.63482354974652
OTSZ02,OTSZ04,96.54378733142508
OTSZ02,BMSZ10,39.68269461422037
OTSZ02,DTSZ12,47.00007092606242
OTSZ02,BMSZ04,43.904257871052316
OTSZ02,DTSZ06,19.70062853188245
OTSZ02,MSSZ01,79.74577843130437
OTSZ02,OTSZ01,53.49047676470849
OTSZ02,SRSZ03,116.54835587757621
OTSZ02,BMSZ08,38.945612722264926
OTSZ02,BMSZ03,84.56761619691812
OTSZ02,BMSZ07,28.651779265005807
OTSZ02,BMSZ09,29.832380348279138
OTSZ02,SRSZ02,96.9786692563414
OTSZ02,BMSZ15,29.30193719103742
OTSZ02,DTSZ09,73.49504531085964
OTSZ02,BMSZ16,42.61842864180026
OTSZ02,BMSZ14,29.672847788392325
OTSZ02,DTSZ07,64.36252488761671
OTSZ02,DTSZ08,90.8903223075128
OTSZ02,BMSZ11,16.32337792641689
OTSZ02,BMSZ13,37.722443052419706
OTSZ02,QTSZ14,70.10886066327754
OTSZ02,QTSZ13,25.713012072893818
OTSZ02,QTSZ07,3.635875140625748
OTSZ02,QTSZ12,102.12083100386842
OTSZ02,BMSZ06,14.465513296841259
OTSZ02,MESZ01,3.455490966633866
OTSZ02,RVSZ05,27.299442394179966
OTSZ02,SRSZ01,58.25757294428096
OTSZ02,WISZ01,0.8816347546603969
OTSZ02,WISZ03,0.02540220050822902
OTSZ02,WISZ02,0.16819238461741656
OTSZ02,SISZ02,4.327932725140544
OTSZ02,SISZ01,127.56520818490023
OTSZ02,BMSZ17,12.66468977049586
OTSZ02,DTSZ10,13.509002421862252
OTSZ02,SVSZ01,10.014586128582408
OTSZ02,BMSZ01,108.84796544896678
OTSZ02,DTSZ11,62.76057375156838
OTSZ02,BMSZ05,33.920790143473674
OTSZ02,BMSZ12,6.767003142991321
OTSZ02,MPSZ04,11.0943550746005
OTSZ02,QTSZ11,90.60389977590407
OTSZ02,RVSZ01,16.320066283615777
OTSZ02,RCSZ04,2.5916182249753996
OTSZ02,KLSZ09,29.8036095872171
OTSZ02,QTSZ05,23.75650039560783
OTSZ02,ORSZ01,20.40008285451972
OTSZ02,MPSZ03,44.993773358102025
OTSZ02,QTSZ04,16.138266039471436
OTSZ02,RCSZ06,8.160033141807888
OTSZ02,RCSZ03,10.510451690178009
OTSZ02,QTSZ08,94.97766406836466
OTSZ02,KLSZ05,12.911066825895512
OTSZ02,MPSZ01,15.699363806882367
OTSZ02,QTSZ03,21.16493906815926
OTSZ02,QTSZ10,26.580225699563698
OTSZ02,ORSZ02,239.9791564886229
OTSZ02,NTSZ06,10.014586128582408
OTSZ02,RCSZ02,60.75904949664548
OTSZ02,PNSZ04,0.06993019677765036
OTSZ02,TNSZ03,9.905904719868108
OTSZ02,NTSZ04,30.785579580457036
OTSZ02,CLSZ08,4.789388832557764
OTSZ02,NTSZ05,3.7091059735490406
OTSZ02,BDSZ07,11.941819657871994
OTSZ02,CLSZ07,9.746826396082467
OTSZ02,MUSZ02,52.628821935171686
OTSZ02,MPSZ05,6.084919982095786
OTSZ02,DTSZ03,214.01541467377962
OTSZ02,ORSZ03,139.46238460544393
OTSZ02,RCSZ09,74.92394066569062
OTSZ02,TNSZ02,102.74223546730843
OTSZ02,JESZ10,0.6727695384696663
OTSZ02,NTSZ01,10.65443048045442
OTSZ02,KLSZ04,3.635875140625748
OTSZ02,RCSZ05,71.41347997709991
OTSZ02,RCSZ08,38.20379152755512
OTSZ02,RCSZ07,8.160033141807888
OTSZ02,PNSZ01,1.5151542635157578
OTSZ02,GLSZ01,5.091685558988876
OTSZ02,JESZ06,1.1212825641161106
OTSZ02,BLSZ01,0.8590287353101304
OTSZ02,BTSZ06,15.10533382500033
OTSZ02,BDSZ03,36.47096273890636
OTSZ02,MPSZ02,31.356961912238912
OTSZ02,QTSZ02,43.91724856643046
OTSZ02,RCSZ01,36.85857031076124
OTSZ02,NTSZ03,16.8455184623401
OTSZ02,JESZ09,0.31259619934068833
OTSZ02,BLSZ03,0.2034541741523993
OTSZ02,BLSZ04,0.15860362631282232
OTSZ02,QTSZ01,6.53432980070239
OTSZ02,KLSZ06,109.99979577117806
OTSZ02,NTSZ02,8.062812255479022
OTSZ02,CLSZ09,0.8918909006815052
OTSZ02,QTSZ09,13.251590783550597
OTSZ02,CLSZ06,17.91272948680799
OTSZ02,KLSZ07,29.94758837749351
OTSZ02,KLSZ03,28.308106003663006
