ORIGIN_ZONE,DEST_SUBZONE,T_hat_ij
OTSZ02,OTSZ01,7231.297513569471
OTSZ02,OTSZ03,5.374374126597071e-05
OTSZ02,DTSZ07,0.32401328772052185
OTSZ02,OTSZ04,1.2394109348322823e-05
OTSZ02,BMSZ05,0.17913115318479877
OTSZ02,SRSZ02,0.00919403233618144
OTSZ02,DTSZ09,1.7054112673753107e-06
OTSZ02,DTSZ04,1.70535889083018e-06
OTSZ02,BMSZ16,1.7053065166978924e-06
OTSZ02,DTSZ08,1.7052541449783005e-06
OTSZ02,SRSZ03,1.7052017756712556e-06
OTSZ02,DTSZ10,1.7051494087766096e-06
OTSZ02,BMSZ10,1.7050970442942144e-06
OTSZ02,SRSZ01,1.705044682223922e-06
OTSZ02,DTSZ05,1.7049923225655839e-06
OTSZ02,RVSZ05,1.7049399653190521e-06
OTSZ02,BMSZ09,0.043333656413761544
OTSZ02,MUSZ02,0.0013101719283277217
OTSZ02,DTSZ11,0.0004502618687586318
OTSZ02,DTSZ06,3.521289207525071e-05
OTSZ02,RVSZ04,0.005097089379378098
OTSZ02,DTSZ02,0.001286485022969733
OTSZ02,BMSZ17,0.005693904702144682
OTSZ02,BMSZ08,0.008875783342264918
OTSZ02,RCSZ07,0.0008562785656028108
OTSZ02,SVSZ01,3.16735355761466e-05
OTSZ02,BMSZ02,0.004478930115024056
OTSZ02,TNSZ02,0.002850456235996307
OTSZ02,RVSZ01,0.0006861027853458394
OTSZ02,NTSZ04,0.0008552015598198474
OTSZ02,RCSZ02,0.0017065242067222399
OTSZ02,RCSZ01,0.002407142976575727
OTSZ02,NTSZ03,0.0006856515020989531
OTSZ02,KLSZ09,0.001799066768760156
OTSZ02,BMSZ01,0.0025429783020447885
OTSZ02,BMSZ07,0.001787453337718565
OTSZ02,BMSZ13,0.001546341945464503
OTSZ02,KLSZ07,0.0005947094914605375
OTSZ02,SISZ01,0.00014803195262932822
OTSZ02,NVSZ02,0.0014368604944871109
OTSZ02,TNSZ01,0.0008140210170935283
OTSZ02,QTSZ05,0.0007659385864053892
OTSZ02,TNSZ03,0.0005370730709700444
OTSZ02,QTSZ06,0.0008660002828996314
OTSZ02,KLSZ05,0.0005238501982284769
OTSZ02,KLSZ08,0.00034821665250186855
OTSZ02,NVSZ03,0.0001257953646216459
OTSZ02,QTSZ07,0.0005511409348517562
OTSZ02,TNSZ04,0.0004607369291956281
OTSZ02,NVSZ01,0.0018613999024567455
OTSZ02,KLSZ01,0.0011968170753398407
OTSZ02,MPSZ05,9.383465105951142e-05
OTSZ02,KLSZ03,0.00029452372896626483
OTSZ02,QTSZ14,0.000113542271073413
OTSZ02,QTSZ04,0.0003612143290679377
OTSZ02,NVSZ04,3.599945270095644e-05
OTSZ02,QTSZ12,4.990759272682097e-06
OTSZ02,KLSZ02,0.0003374525482666398
OTSZ02,QTSZ08,0.00026831678904990695
OTSZ02,NVSZ05,9.789518776720406e-05
OTSZ02,GLSZ04,0.0009312428289775206
OTSZ02,MPSZ01,0.0003491377340226596
OTSZ02,BTSZ07,0.00028327209247566124
OTSZ02,GLSZ01,0.000150910074472379
OTSZ02,TPSZ09,0.00014799191313833745
OTSZ02,TPSZ06,0.0004013642567682688
OTSZ02,TPSZ01,0.0004314998411104188
OTSZ02,BTSZ06,6.838510162940615e-05
OTSZ02,BTSZ05,0.00012857109753264135
OTSZ02,TPSZ11,0.00014988544753331178
OTSZ02,QTSZ01,0.0001921125332691853
OTSZ02,QTSZ13,1.815554052180305e-05
OTSZ02,GLSZ02,0.00019470479908272571
OTSZ02,QTSZ10,5.647810013511e-05
OTSZ02,QTSZ15,4.212516715059696e-05
OTSZ02,QTSZ11,3.6977054643045726e-05
OTSZ02,GLSZ05,0.00037746900327254615
OTSZ02,TPSZ12,6.221508373753982e-05
OTSZ02,BSSZ03,0.00023577301568272497
OTSZ02,BTSZ04,3.4566130283719435e-05
OTSZ02,SGSZ05,0.00015902130787385122
OTSZ02,MPSZ03,0.00020141575935260131
OTSZ02,QTSZ09,2.147755495728614e-05
OTSZ02,BSSZ02,0.00032333106129666116
OTSZ02,BTSZ03,0.00014974950110733447
OTSZ02,GLSZ03,0.00011343201455041001
OTSZ02,SGSZ07,9.253004957938271e-05
OTSZ02,BSSZ01,0.00020125724700022332
