Model,CPC,R2,MAE,RMSE
Attr-Uniform,0.6026934994234607,0.5346729360920567,57.259278226505174,146.78215802773815
Attr-Weighted,0.6766506779425321,0.6266311938634703,44.93079034039493,123.89720989431761
RadPop,0.201502176204659,-17.181306123899834,116.50627914421415,790.9096629256287
RadPOI,0.27304196887428095,-10.476684299795469,102.00144889998158,622.763688646274
Power-Pop,0.4449374883826425,0.07189985590877758,78.30744420575336,226.6687030088902
Exp-Pop,0.4948485183961455,0.04073554279165429,70.4943065879596,195.8000356233241
Power-POI,0.5233610810685427,0.06755807851055018,67.11828921662453,220.7478930791656
Exp-POI,0.5809059197693611,0.33996232973383284,59.105667177546394,170.22605651715412
