Zone,CPC_No_POI,CPC_POI,CPC_Improvement,Observed_Trips
AMSZ01,0.6792277500389597,0.6953237136076614,0.016095963568701688,27121.69056620942
AMSZ02,0.5734502679865526,0.5865089347704916,0.013058666783938966,65666.24319283728
AMSZ03,0.6533497763674698,0.7128652274820221,0.059515451114552254,32166.300165914923
AMSZ04,0.7311298507227056,0.7028803333968103,-0.028249517325895313,18884.1211667159
AMSZ05,0.7134530890133283,0.6948934704648785,-0.018559618548449786,14455.883676828398
AMSZ06,0.6277531853545262,0.6866605660864754,0.05890738073194923,25108.271496206147
AMSZ07,0.674727500684658,0.7631539327998788,0.08842643211522072,7620.793197664351
AMSZ08,0.6862127032414235,0.7413572381088448,0.055144534867421324,13355.168420206057
AMSZ09,0.6641786750867821,0.7427762727283409,0.07859759764155883,17000.295350097804
AMSZ10,0.5965670681481023,0.6454617992035762,0.04889473105547382,32190.460953664617
AMSZ11,0.521409024623672,0.597775767056022,0.07636674243234998,5385.711640046159
AMSZ12,0.522834705301355,0.6075050807831255,0.08467037548177048,11732.222004553434
BDSZ01,0.6607177926723592,0.7601972395879465,0.0994794469155873,64478.1102667864
BDSZ02,0.6414015748941219,0.7715084661347607,0.1301068912406388,24943.013103325233
BDSZ03,0.5969382632001021,0.7195818499124059,0.1226435867123038,46233.15749225188
BDSZ04,0.7450783283750743,0.8066766740132488,0.06159834563817457,121052.96650612145
BDSZ05,0.6995866882226758,0.8449649249823716,0.14537823675969586,49339.6670783614
BDSZ06,0.6735881670725203,0.7769864036057509,0.10339823653323055,47121.370348857876
BDSZ07,0.5698371855263273,0.6643358800550098,0.09449869452868243,8583.387302580515
BDSZ08,0.634604346402382,0.7309103967209288,0.09630605031854689,9257.110779931161
BKSZ01,0.6769114550595493,0.6372836817658665,-0.03962777329368283,11331.872349070305
BKSZ02,0.6940318459635665,0.6875298026201235,-0.006502043343442954,21108.722759799108
BKSZ03,0.6808248249304192,0.6816027176463004,0.0007778927158812454,23028.526689662176
BKSZ04,0.5759693499059447,0.6308944892296734,0.05492513932372867,29218.957772964444
BKSZ05,0.6605189524046619,0.7180963981570286,0.057577445752366785,16306.139201311182
BKSZ06,0.6674069522898004,0.733120167614234,0.06571321532443364,14850.120482090306
BKSZ07,0.673514218547105,0.7202863670974082,0.046772148550303205,45987.82508541912
BKSZ08,0.6355376991760432,0.7153657615359871,0.07982806235994389,13324.640822146277
BKSZ09,0.6602369455351451,0.6595503437585664,-0.0006866017765787547,22740.056009687803
BLSZ01,0.6701109319013323,0.6937710714432573,0.02366013954192503,5550.112045412872
BLSZ02,0.6307832104509735,0.7019500609023518,0.07116685045137827,7426.336532095021
BLSZ03,0.6192818656183032,0.6930549216780607,0.07377305605975748,1575.1520120534783
BLSZ04,0.6039083270502484,0.7390777029775674,0.13516937592731892,2876.724131117545
BMSZ01,0.6265199545963577,0.7046203130531735,0.07810035845681584,71386.96371413475
BMSZ02,0.6086038003717889,0.5960037172640331,-0.012600083107755733,12895.105839642592
BMSZ03,0.5199511619079435,0.5817183477036886,0.06176718579574503,25834.419848905585
BMSZ04,0.5932060850198515,0.6204537993230126,0.027247714303161086,41565.960660100885
BMSZ05,0.5191406670411636,0.6602801556449606,0.141139488603797,43580.71059257965
BMSZ06,0.5897394767474918,0.5746927635732879,-0.015046713174203918,4382.112041382917
BMSZ07,0.6709969035527038,0.6686216474695512,-0.002375256083152588,30808.124090378788
BMSZ08,0.6270416096112645,0.7007165436471847,0.07367493403592018,16899.652529947925
BMSZ09,0.6728790122627634,0.6810536146678753,0.00817460240511192,11331.125524385707
BMSZ10,0.636434264097712,0.6936389563411348,0.05720469224342284,11850.053717032599
BMSZ11,0.6153145376869339,0.6222349874645735,0.0069204497776396146,12208.88805873811
BMSZ12,0.6489674730865346,0.6509806559081354,0.0020131828216007897,6738.695597310079
BMSZ13,0.6347881264764882,0.7414956242209241,0.10670749774443589,18149.241151686834
BMSZ14,0.59408061700025,0.6449639334431408,0.05088331644289079,10541.761628540995
BMSZ15,0.6499839982542044,0.7192207405946608,0.0692367423404564,10939.691638366681
BMSZ16,0.5862991844192355,0.5763293571135962,-0.009969827305639223,10233.64517789523
BMSZ17,0.4773103745894508,0.5302805899668213,0.052970215377370455,6252.624938594992
BPSZ01,0.6484010271662486,0.7059705082133865,0.05756948104713788,17059.080805800637
BPSZ02,0.683637674302965,0.6905471601014723,0.006909485798507364,20918.764724025034
BPSZ03,0.7141342510289757,0.7464899151451431,0.032355664116167415,20471.88653087024
BPSZ04,0.6606015777124512,0.6614795825523396,0.0008780048398884244,20503.7532471154
BPSZ05,0.7388916944828443,0.7553015043871265,0.016409809904282202,35642.53174945484
BPSZ06,0.6332630119595742,0.7219110261221726,0.08864801416259838,10013.750381320559
BPSZ07,0.5898958065766269,0.7097547335699756,0.11985892699334877,13770.123681284575
BSSZ01,0.7057332192011899,0.7997110073460448,0.09397778814485491,56600.85738912727
BSSZ02,0.6728271682475702,0.7737299680880065,0.10090279984043637,35158.362909370546
BSSZ03,0.6415451294869919,0.727619311000404,0.08607418151341206,66934.17666703204
BTSZ01,0.6644204703443355,0.7123689228333603,0.047948452489024795,48815.119466536205
BTSZ02,0.6850388061939799,0.7241015982440138,0.03906279205003382,12115.594822966867
BTSZ03,0.6686454798989246,0.7441686289993292,0.07552314910040459,26491.044985934117
BTSZ04,0.6203488095112867,0.6381452182082888,0.017796408697002164,7803.535441401347
BTSZ05,0.6568866358723264,0.7250539713736286,0.06816733550130216,13305.083054737752
BTSZ06,0.5921903207419907,0.6641443059619258,0.07195398521993501,17303.914547747387
BTSZ07,0.6319759038344492,0.7118317599153527,0.07985585608090351,18516.03466601365
BTSZ08,0.5912992135773022,0.638847047116526,0.04754783353922376,9251.546912360143
CCSZ01,0.6950657987170746,0.718308584537043,0.023242785819968415,13677.549216314132
CHSZ01,0.5750322019682401,0.7711492747188222,0.1961170727505821,4110.679735467242
CHSZ02,0.6045278737541143,0.6904780626634194,0.08595018890930506,14085.69893849091
CHSZ03,0.6795227538416402,0.8090245150373333,0.12950176119569312,56617.08831490413
CKSZ01,0.6434134692749206,0.6877178149989709,0.04430434572405029,52348.07642367
CKSZ02,0.6703864500446421,0.6856611417089167,0.015274691664274531,21225.057242344716
CKSZ03,0.7001881197687472,0.6805659913147261,-0.019622128454021115,52251.30386627464
CKSZ04,0.6695620537298569,0.677173434536241,0.007611380806384127,24100.45873057735
CKSZ05,0.7486809478645251,0.7727665396854977,0.024085591820972585,21420.983299974418
CKSZ06,0.5928207949363591,0.619322480408734,0.02650168547237497,50816.04883860078
CLSZ01,0.6726318518446437,0.6723133276127414,-0.00031852423190226187,17892.608801986604
CLSZ02,0.5815265579334529,0.6422238964910304,0.06069733855757753,4570.233017815282
CLSZ03,0.5784419478592424,0.6088291255907491,0.030387177731506676,9538.018416546032
CLSZ04,0.6512006043103525,0.7212674270335716,0.07006682272321907,24594.67677816326
CLSZ05,0.5304220044697063,0.5662957877874567,0.035873783317750374,4787.773464565304
CLSZ06,0.6690355087192464,0.656776434630009,-0.012259074089237432,74767.69501464689
CLSZ07,0.5834352794703406,0.6033257638291442,0.019890484358803584,18369.0383883986
CLSZ08,0.558006583634884,0.5026018893538265,-0.05540469428105743,18071.03008870533
CLSZ09,0.5614869998059017,0.5273080012941627,-0.034178998511739,7685.938619116299
