ModelType,Params,CPC
Power-Pop,1.452671917311688,0.6049793425290821
Exp-Pop,0.27903330925597286,0.5733517876713887
Power-POI,1.5253934813363068,0.6716015989110693
Exp-POI,0.33938320046059167,0.6424800742712619
