Zone,Uniform_CPC,Uniform_R2,Weighted_CPC,Weighted_R2,RadPop_CPC,RadPop_R2,RadPOI_CPC,RadPOI_R2,Power_CPC,Power_R2,Exp_CPC,Exp_R2
OTSZ02,0.3956445261188017,0.13103048089798852,0.5545075090153849,0.4159166984918047,0.039754043995521175,-28.627245469185425,0.1187004387094242,-18.781797737926166,0.4084696080621317,-2.380226768418017,0.489591244083549,0.2573676658227534
BMSZ02,0.6105373776366059,0.43098846089811305,0.5971789791405208,0.1821081978291208,0.3752928401435734,-7.96536477186187,0.32906442382755674,-5.7175310979012695,0.5722152848281461,0.2898577971062809,0.4608340566951442,0.11494149230117734
OTSZ03,0.5582669389226284,0.3933349822883737,0.6390925095904941,0.40324966287512354,0.05491372889715167,-76.69765161968807,0.3835231233083214,-2.6803252851856327,0.4925743886641558,-1.7625313781587413,0.5320054806640122,0.10790748267747141
DTSZ04,0.20621410659868222,0.12119666659014638,0.21132017176613074,0.06525071308973607,3.7008126761452425e-06,-4.274601355883793,0.0069335585572743285,-9.76641770761031,0.09342826778269159,-0.7296934344013564,0.14115158128719735,-0.013460100860581026
DTSZ05,0.4016612428665329,0.09465859489853135,0.5119157098940171,0.22761758576959723,0.02117900162783951,-16.642791627680953,0.10124144418979387,-5.333277670259767,0.3680204434039658,-0.557318096824218,0.41562320255845664,0.08163587899612923
OTSZ04,0.38414152777064875,0.1448314456765949,0.4652288988050358,0.5497679030969864,0.052703654551616005,-5.092899961564436,0.24341376200934273,-3.046090968221664,0.46358146759487284,0.44288679577654577,0.41234531978966427,0.37459413730576896
BMSZ10,0.6367025509129257,0.4795945894231215,0.6971582373753845,0.42385491352744964,0.13520138989109695,-20.84398446389021,0.3213655664042796,-9.97128303732775,0.6772348449203955,0.35189051881102695,0.5742154757084112,0.05164805064974487
DTSZ12,0.4874484249091328,0.18430510168779224,0.6731688699382867,0.642753512358818,0.02866138901312782,-56.35569643597619,0.15907466205981896,-12.272322907069336,0.5522087437673234,0.1280877147368895,0.589615013125124,0.4985308860913732
BMSZ04,0.5967996004764448,0.4141445385150593,0.6225938826577094,0.1946346616397635,0.09967014258641523,-24.083343741607848,0.32155554373258266,-11.344614553807483,0.6152379074319556,0.25219407646279834,0.511167304431579,0.06696275233557791
DTSZ06,0.46945242123251457,0.23890497046865444,0.5707501255555327,0.4222110069367345,0.1318251662389481,-25.607649409246626,0.11228936726204587,-21.31338414063913,0.5165888954526451,-0.04727253495471517,0.5642622565184452,0.34084875808067805
MSSZ01,0.5751609761129252,0.692704671750703,0.6066627508630913,0.5508265664735968,0.34198292380353074,-2.6173551739353544,0.4302679981084803,-1.112619818180192,0.5791497906381923,0.5979904726241212,0.5330886928010088,0.520005670785705
OTSZ01,0.6372832909682367,0.4806075556000654,0.6471807826202226,0.28535097086479677,0.22392053119729963,-19.203073926570717,0.22759547116893084,-15.4792610601713,0.6013789961634917,-1.0150583835472302,0.5950372992627578,0.17164591852376643
