SUBZONE_C,A_j
SESZ02,299.0
CHSZ03,921.0
AMSZ11,8.0
PGSZ06,30.0
CCSZ01,740.0
SLSZ04,19.0
SMSZ04,0.0
SBSZ05,99.0
LKSZ01,167.0
SMSZ01,2.0
SBSZ09,23.0
SBSZ04,113.0
SMSZ02,0.0
SKSZ04,49.0
SLSZ01,74.0
YSSZ08,123.0
MDSZ01,8.0
PGSZ07,16.0
YSSZ04,131.0
SBSZ07,9.0
SBSZ08,32.0
CHSZ01,146.0
SESZ03,690.0
SESZ04,370.0
SESZ07,8.0
SESZ06,459.0
PGSZ04,235.0
CKSZ06,109.0
PRSZ01,14.0
PGSZ03,249.0
WDSZ09,95.0
SBSZ06,93.0
