Zone,Model,CPC,R2
BSSZ03,POI Weighted,0.727619311000404,0.7752193171262031
BSSZ03,Global P_bin,0.5284077020246624,0.1707106979452263
BTSZ01,No POI (Eq),0.6644204703443355,0.8266188251954704
BTSZ01,POI Weighted,0.7123689228333603,0.8247656591308428
BTSZ01,Global P_bin,0.524396173141314,0.12740990530471652
BTSZ02,No POI (Eq),0.6850388061939799,0.7629398196925966
BTSZ02,POI Weighted,0.7241015982440138,0.7126775636900444
BTSZ02,Global P_bin,0.5301279293634777,0.10990461875904067
BTSZ03,No POI (Eq),0.6686454798989246,0.7278201150025712
BTSZ03,POI Weighted,0.7441686289993292,0.8300705608874147
BTSZ03,Global P_bin,0.5473322895207302,0.17569302657291064
BTSZ04,No POI (Eq),0.6203488095112867,0.5134274452303824
BTSZ04,POI Weighted,0.6381452182082888,0.2853341040738886
BTSZ04,Global P_bin,0.5265428734506936,0.2825593586823745
BTSZ05,No POI (Eq),0.6568866358723264,0.7910930129320299
BTSZ05,POI Weighted,0.7250539713736286,0.8273036336031728
BTSZ05,Global P_bin,0.5282788270002129,0.054451842722237576
BTSZ06,No POI (Eq),0.5921903207419907,0.576748323940538
BTSZ06,POI Weighted,0.6641443059619258,0.5856229820485301
BTSZ06,Global P_bin,0.49336442990032237,0.089687375875112
BTSZ07,No POI (Eq),0.6319759038344492,0.4988047885987952
BTSZ07,POI Weighted,0.7118317599153527,0.6010047078226264
BTSZ07,Global P_bin,0.5396658540320006,0.22467808665774935
BTSZ08,No POI (Eq),0.5912992135773022,0.5137486538934624
BTSZ08,POI Weighted,0.6388470471165261,0.23249638085552293
BTSZ08,Global P_bin,0.4997087084417666,0.12468003044267184
CCSZ01,No POI (Eq),0.6950657987170746,0.9120218287199917
CCSZ01,POI Weighted,0.718308584537043,0.9000053111269244
CCSZ01,Global P_bin,0.5344467083459721,0.06919121023246777
CHSZ01,No POI (Eq),0.5750322019682401,0.4778067374089323
CHSZ01,POI Weighted,0.7711492747188222,0.8836941231379722
CHSZ01,Global P_bin,0.45509381672632293,0.3465992936365271
CHSZ02,No POI (Eq),0.6045278737541143,0.5254591187710478
CHSZ02,POI Weighted,0.6904780626634195,0.5318196420687153
CHSZ02,Global P_bin,0.5128384012673035,0.31346422201002266
CHSZ03,No POI (Eq),0.6795227538416402,0.826742028230635
CHSZ03,POI Weighted,0.8090245150373333,0.9470225849322953
CHSZ03,Global P_bin,0.505585173430454,0.23140020765346647
CKSZ01,No POI (Eq),0.6434134692749206,0.7166475481768182
CKSZ01,POI Weighted,0.6877178149989709,0.6962577360389056
CKSZ01,Global P_bin,0.4969023641055413,0.29852761586078536
CKSZ02,No POI (Eq),0.6703864500446421,0.6632333533112473
CKSZ02,POI Weighted,0.6856611417089167,0.6737836145279713
CKSZ02,Global P_bin,0.526714968528671,0.30078973341624915
CKSZ03,No POI (Eq),0.7001881197687472,0.8098530239679109
CKSZ03,POI Weighted,0.6805659913147261,0.6944453361852452
CKSZ03,Global P_bin,0.5135380082793765,0.43937285325711606
CKSZ04,No POI (Eq),0.6695620537298569,0.7283678705322125
CKSZ04,POI Weighted,0.677173434536241,0.6855751603353927
CKSZ04,Global P_bin,0.4991073105935969,0.2731807072406389
CKSZ05,No POI (Eq),0.7486809478645251,0.9158208903040891
CKSZ05,POI Weighted,0.7727665396854977,0.8794571491421204
CKSZ05,Global P_bin,0.5427025126309282,0.44707543302126274
CKSZ06,No POI (Eq),0.5928207949363591,0.6553347236116998
CKSZ06,POI Weighted,0.619322480408734,0.5472695475098522
CKSZ06,Global P_bin,0.46372990669944253,0.22749738783345397
CLSZ01,No POI (Eq),0.6726318518446437,0.5883737096060874
CLSZ01,POI Weighted,0.6723133276127414,0.5942191343807272
CLSZ01,Global P_bin,0.5919093214435257,0.31630310186111243
CLSZ02,No POI (Eq),0.5815265579334529,0.29667427126065793
CLSZ02,POI Weighted,0.6422238964910304,0.5687146038204596
CLSZ02,Global P_bin,0.5160343663031778,0.14981929822376994
CLSZ03,No POI (Eq),0.5784419478592425,0.4015939316340743
CLSZ03,POI Weighted,0.608829125590749,0.43691726636933403
CLSZ03,Global P_bin,0.5405023718371796,0.3147073042457209
CLSZ04,No POI (Eq),0.6512006043103525,0.6580125821738274
CLSZ04,POI Weighted,0.7212674270335716,0.7589338415614454
CLSZ04,Global P_bin,0.5399138581034656,0.31417640021261595
CLSZ05,No POI (Eq),0.5304220044697063,0.396486283879691
CLSZ05,POI Weighted,0.5662957877874567,0.49071251475778466
